name_major,total:,25_to_39_years:,science_and_engineering,computers_mathematics_and_statistics,biological_agricultural_and_environmental_sciences,physical_and_related_sciences,psychology,social_sciences,engineering,multidisciplinary_studies,science_and_engineering_related_fields,business,education,arts_humanities_and_other,literature_and_languages,liberal_arts_and_history,visual_and_performing_arts,communications,other,40_to_64_years:,science_and_engineering,computers_mathematics_and_statistics,biological_agricultural_and_environmental_sciences,physical_and_related_sciences,psychology,social_sciences,engineering,multidisciplinary_studies,science_and_engineering_related_fields,business,education,arts_humanities_and_other,literature_and_languages,liberal_arts_and_history,visual_and_performing_arts,communications,other
delaware_margin_of_error,"±3,165","±3,873",,"±11,551","±16,578","±8,013","±15,059","±6,474","±7,518","±8,611","±5,866","±9,570","±4,334",,"±19,155","±20,553","±15,038","±1,917","±4,555","±4,376",,"±14,697","±23,492","±35,792","±8,926","±29,403","±10,523","±7,813","±12,997","±11,198","±10,858",,"±25,132","±15,100","±35,521","±18,378","±4,143"
district_of_columbia_estimate,"100,828","89,341",,"104,594","93,784","80,874","71,834","94,380","112,447","82,696","77,615","102,628","70,485",,"86,784","97,090","73,475","77,293","76,995","132,269",,"142,406","135,595","177,198","125,269","150,633","156,367","113,079","112,641","124,417","109,663",,"116,930","133,868","91,267","101,822","130,018"
district_of_columbia_margin_of_error,"±2,301","±3,087",,"±12,476","±13,206","±22,033","±8,180","±4,210","±18,322","±17,197","±10,618","±18,373","±4,469",,"±5,515","±12,481","±11,050","±10,092","±2,818","±6,728",,"±31,100","±21,840","±17,277","±40,486","±12,429","±7,999","±95,542","±22,577","±16,372","±20,555",,"±23,422","±5,141","±20,360","±21,773","±47,246"
florida_estimate,"63,276","56,340",,"69,246","60,461","55,710","49,606","58,817","74,965","47,287","61,423","64,042","49,144",,"49,076","50,296","41,474","50,589","52,219","70,410",,"98,041","91,298","87,031","61,399","72,351","100,094","68,862","75,771","73,358","53,417",,"60,397","64,420","55,155","64,878","65,448"
florida_margin_of_error,±516,"±1,126",,"±4,673","±3,087","±2,920","±2,358","±4,175","±2,596","±5,432","±1,872","±1,497",±839,,"±2,727","±7,524","±2,460","±2,896",±968,"±1,002",,"±4,613","±5,533","±7,891","±2,863","±3,345","±6,444","±13,792","±3,025","±1,927",±842,,"±4,226","±2,958","±3,063","±3,150","±3,005"
georgia_estimate,"71,622","61,933",,"81,935","57,465","66,599","51,760","63,114","85,794","56,121","61,759","71,468","50,986",,"55,442","57,486","53,142","55,546","50,482","80,027",,"104,178","92,077","94,609","64,909","81,069","127,809","76,950","83,030","85,724","64,018",,"62,067","69,656","62,448","77,977","69,827"
georgia_margin_of_error,±741,±871,,"±3,988","±3,814","±7,133","±2,613","±4,708","±2,715","±5,055","±2,346","±2,249","±1,765",,"±5,366","±6,410","±5,089","±5,998","±3,680","±1,071",,"±5,559","±5,487","±13,055","±3,342","±5,827","±4,041","±28,216","±3,060","±2,438","±1,559",,"±6,327","±6,025","±2,421","±5,827","±5,768"
hawaii_estimate,"70,886","60,249",,"71,478","64,471","59,975","57,539","50,493","82,768","61,250","74,637","59,547","52,107",,"42,890","54,066","36,076","57,996","59,718","79,944",,"88,484","91,444","101,885","74,465","83,229","113,998","64,951","94,633","77,205","67,859",,"74,127","68,952","45,453","63,960","71,827"
hawaii_margin_of_error,"±1,795","±2,335",,"±7,088","±4,692","±22,593","±16,142","±8,398","±9,656","±18,585","±11,431","±6,127","±4,141",,"±12,399","±5,396","±3,528","±12,498","±9,473","±2,607",,"±13,549","±11,598","±16,936","±6,167","±7,354","±10,718","±83,055","±9,778","±6,683","±7,296",,"±15,351","±17,798","±19,770","±4,370","±11,785"
idaho_estimate,"63,254","54,167",,"85,377","51,716","55,170","41,253","56,165","87,357","45,313","54,877","64,502","44,899",,"45,885","40,931","41,177","41,541","49,459","69,210",,"83,656","67,961","96,384","58,893","75,158","112,179","61,077","65,749","88,970","57,575",,"51,434","68,448","50,681","64,673","62,186"
idaho_margin_of_error,"±1,248","±1,667",,"±15,818","±2,466","±14,415","±4,352","±11,553","±6,222","±30,981","±9,966","±7,681","±4,353",,"±6,211","±12,927","±4,932","±30,026","±7,394","±2,609",,"±17,392","±9,135","±18,127","±10,722","±13,745","±13,201","±8,602","±7,296","±8,383","±4,436",,"±4,282","±14,090","±10,099","±24,289","±2,906"
illinois_estimate,"76,327","67,514",,"84,254","65,515","65,166","57,901","71,816","90,621","62,458","66,607","80,191","55,945",,"55,834","61,603","49,499","63,547","61,619","85,834",,"103,159","96,621","100,790","75,047","97,584","123,674","62,232","84,395","93,436","65,040",,"81,223","76,391","61,545","84,957","73,253"
illinois_margin_of_error,±690,"±1,035",,"±4,333","±3,503","±3,995","±5,964","±4,689","±4,123","±6,849","±1,950","±2,365","±2,130",,"±5,175","±4,215","±4,122","±3,473","±1,657",±979,,"±2,796","±5,192","±5,132","±5,270","±5,344","±4,590","±11,803","±2,677","±2,377","±1,942",,"±8,624","±4,577","±4,543","±4,425","±3,914"
