,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
75,California,total,Some_college_or_associates_degree,47535,425,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,6725.548387096775,13451.09677419355,145.9797467389443,17517.569608673315,20.0,-920682.5696086733,30017.430391326685,933182.4303913267
76,California,total,Bachelors_degree,75688,567,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,6967.296969696969,27869.187878787878,302.4539230266169,36294.470763194025,22.0,-1625742.470763194,39393.529236805975,1326089.529236806
77,California,total,Graduate_or_professional_degree,103600,734,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,26.0,-2590000.0,103600.0,1450400.0
90,Colorado,total,Total,55648,720,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,0.0,0.0,0.0,0.0,,,55648.0,
91,Colorado,total,Less_than_high_school_graduate,34357,1706,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,0.0,0.0,0.0,0.0,16.0,-515355.0,34357.0,824568.0
92,Colorado,total,High_school_graduate_includes_equivalency,42245,868,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,0.0,0.0,0.0,0.0,18.0,-718165.0,42245.0,929390.0
93,Colorado,total,Some_college_or_associates_degree,46542,821,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,6498.217391304348,12996.434782608696,141.04546937126398,16925.456324551677,20.0,-901223.4563245517,29616.543675448323,913914.5436754483
94,Colorado,total,Bachelors_degree,69493,1237,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,6707.46875,26829.875,291.17464718949293,34940.95766273915,22.0,-1494293.957662739,34552.04233726085,1215933.042337261
95,Colorado,total,Graduate_or_professional_degree,84468,1931,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,0.0,0.0,0.0,0.0,26.0,-2111700.0,84468.0,1182552.0
108,Connecticut,total,Total,58734,1178,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,0.0,0.0,0.0,0.0,,,58734.0,
109,Connecticut,total,Less_than_high_school_graduate,31767,1063,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,0.0,0.0,0.0,0.0,16.0,-476505.0,31767.0,762408.0
110,Connecticut,total,High_school_graduate_includes_equivalency,41610,793,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,0.0,0.0,0.0,0.0,18.0,-707370.0,41610.0,915420.0
111,Connecticut,total,Some_college_or_associates_degree,49709,1754,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,6185.555555555556,12371.111111111111,134.25906431244252,16111.087717493103,20.0,-960582.0877174931,33597.9122825069,978068.9122825069
112,Connecticut,total,Bachelors_degree,75597,1766,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,7916.615384615385,31666.46153846154,343.66432069479214,41239.71848337506,22.0,-1628776.7184833752,34357.28151662494,1319506.2815166248
113,Connecticut,total,Graduate_or_professional_degree,92566,1859,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,0.0,0.0,0.0,0.0,26.0,-2314150.0,92566.0,1295924.0
126,Delaware,total,Total,50835,878,DE,43.0,6695.8,82.0,7577.0,57.666666666666664,6274.6,0.0,0.0,0.0,0.0,,,50835.0,
127,Delaware,total,Less_than_high_school_graduate,34578,2306,DE,43.0,6695.8,82.0,7577.0,57.666666666666664,6274.6,0.0,0.0,0.0,0.0,16.0,-518670.0,34578.0,829872.0
128,Delaware,total,High_school_graduate_includes_equivalency,39820,2238,DE,43.0,6695.8,82.0,7577.0,57.666666666666664,6274.6,0.0,0.0,0.0,0.0,18.0,-676940.0,39820.0,876040.0
129,Delaware,total,Some_college_or_associates_degree,44530,1758,DE,43.0,6695.8,82.0,7577.0,57.666666666666664,6274.6,7577.0,15154.0,164.46072162131117,19735.28659455734,20.0,-865805.2865945573,24794.71340544266,870864.7134054427
130,Delaware,total,Bachelors_degree,64139,3027,DE,43.0,6695.8,82.0,7577.0,57.666666666666664,6274.6,6695.8,26783.2,290.6681007871124,34880.17209445349,22.0,-1381799.1720944536,29258.82790554651,1119621.8279055464
131,Delaware,total,Graduate_or_professional_degree,79150,3804,DE,43.0,6695.8,82.0,7577.0,57.666666666666664,6274.6,0.0,0.0,0.0,0.0,26.0,-1978750.0,79150.0,1108100.0
144,District_of_Columbia,total,Total,83510,2750,DC,33.9,6623.0,83.5,6703.0,62.5,7155.0,0.0,0.0,0.0,0.0,,,83510.0,
145,District_of_Columbia,total,Less_than_high_school_graduate,26970,6116,DC,33.9,6623.0,83.5,6703.0,62.5,7155.0,0.0,0.0,0.0,0.0,16.0,-404550.0,26970.0,647280.0
146,District_of_Columbia,total,High_school_graduate_includes_equivalency,38599,4544,DC,33.9,6623.0,83.5,6703.0,62.5,7155.0,0.0,0.0,0.0,0.0,18.0,-656183.0,38599.0,849178.0
147,District_of_Columbia,total,Some_college_or_associates_degree,48566,3947,DC,33.9,6623.0,83.5,6703.0,62.5,7155.0,6703.0,13406.0,145.49032823381927,17458.839388058313,20.0,-940212.8393880583,31107.160611941687,953861.1606119417
148,District_of_Columbia,total,Bachelors_degree,83903,2914,DC,33.9,6623.0,83.5,6703.0,62.5,7155.0,6623.0,26492.0,287.5078155729032,34500.937868748384,22.0,-1796463.9378687483,49402.062131251616,1475753.0621312517
149,District_of_Columbia,total,Graduate_or_professional_degree,113205,6360,DC,33.9,6623.0,83.5,6703.0,62.5,7155.0,0.0,0.0,0.0,0.0,26.0,-2830125.0,113205.0,1584870.0
162,Florida,total,Total,44036,330,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,0.0,0.0,0.0,0.0,,,44036.0,
163,Florida,total,Less_than_high_school_graduate,28063,876,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,0.0,0.0,0.0,0.0,16.0,-420945.0,28063.0,673512.0
164,Florida,total,High_school_graduate_includes_equivalency,34769,469,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,0.0,0.0,0.0,0.0,18.0,-591073.0,34769.0,764918.0
165,Florida,total,Some_college_or_associates_degree,41565,288,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,7719.38,15438.76,167.55111591251378,20106.133909501652,20.0,-809841.1339095016,21458.866090498348,811193.8660904984
166,Florida,total,Bachelors_degree,56243,818,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,6875.417475728155,27501.66990291262,298.4653872260858,35815.84646713029,22.0,-1216918.8464671304,20427.153532869706,976558.1535328696
167,Florida,total,Graduate_or_professional_degree,74215,1259,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,0.0,0.0,0.0,0.0,26.0,-1855375.0,74215.0,1039010.0
180,Georgia,total,Total,47625,512,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,0.0,0.0,0.0,0.0,,,47625.0,
181,Georgia,total,Less_than_high_school_graduate,30325,631,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,0.0,0.0,0.0,0.0,16.0,-454875.0,30325.0,727800.0
182,Georgia,total,High_school_graduate_includes_equivalency,35880,536,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,0.0,0.0,0.0,0.0,18.0,-609960.0,35880.0,789360.0
183,Georgia,total,Some_college_or_associates_degree,42139,452,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,6016.9473684210525,12033.894736842105,130.5993805157682,15671.925661892183,20.0,-816312.9256618922,26467.074338107817,827108.0743381078
184,Georgia,total,Bachelors_degree,63803,738,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,6766.8387096774195,27067.354838709678,293.75192748807456,35250.23129856895,22.0,-1375113.231298569,28552.76870143105,1113203.768701431
185,Georgia,total,Graduate_or_professional_degree,78550,1341,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,0.0,0.0,0.0,0.0,26.0,-1963750.0,78550.0,1099700.0
198,Hawaii,total,Total,50993,644,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45.0,5570.0,0.0,0.0,0.0,0.0,,,50993.0,
199,Hawaii,total,Less_than_high_school_graduate,29829,4287,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45.0,5570.0,0.0,0.0,0.0,0.0,16.0,-447435.0,29829.0,715896.0
200,Hawaii,total,High_school_graduate_includes_equivalency,41441,1095,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45.0,5570.0,0.0,0.0,0.0,0.0,18.0,-704497.0,41441.0,911702.0
201,Hawaii,total,Some_college_or_associates_degree,46737,1326,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45.0,5570.0,5841.444444444444,11682.888888888889,126.7900446936957,15214.805363243484,20.0,-903217.8053632434,31522.194636756518,919525.1946367566
202,Hawaii,total,Bachelors_degree,61880,1700,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45.0,5570.0,6376.875,25507.5,276.82340350769397,33218.80842092328,22.0,-1332698.8084209233,28661.191579076723,1080621.1915790767
