,degree_age_range,state,degree,age_range,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,education,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
1,25_to_39_years_25_to_39_years,Alabama,Combined_25_to_39_years,25_to_39_years,54366.0,1493.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1178904.7352517145,17147.26474828545,941369.2647482854
2,25_to_39_years_Computers_Mathematics_and_Statistics,Alabama,Computers_Mathematics_and_Statistics,25_to_39_years,64515.0,12010.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1392033.7352517145,27296.26474828545,1124051.2647482855
3,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Alabama,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,53005.0,3844.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1150323.7352517145,15786.264748285452,916871.2647482854
4,25_to_39_years_Physical_and_Related_Sciences,Alabama,Physical_and_Related_Sciences,25_to_39_years,42097.0,14162.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-921255.7352517146,4878.264748285452,720527.2647482854
5,25_to_39_years_Psychology,Alabama,Psychology,25_to_39_years,48988.0,6409.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1065966.7352517145,11769.264748285452,844565.2647482854
6,25_to_39_years_Social_Sciences,Alabama,Social_Sciences,25_to_39_years,53549.0,6065.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1161747.7352517145,16330.264748285452,926663.2647482854
7,25_to_39_years_Engineering,Alabama,Engineering,25_to_39_years,84357.0,6280.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1808715.7352517145,47138.26474828545,1481207.2647482855
8,25_to_39_years_Multidisciplinary_Studies,Alabama,Multidisciplinary_Studies,25_to_39_years,46004.0,17049.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1003302.7352517146,8785.264748285452,790853.2647482854
9,25_to_39_years_Science_and_Engineering_Related_Fields,Alabama,Science_and_Engineering_Related_Fields,25_to_39_years,63414.0,3326.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1368912.7352517145,26195.26474828545,1104233.2647482855
10,25_to_39_years_Business,Alabama,Business,25_to_39_years,59018.0,2476.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1276596.7352517145,21799.26474828545,1025105.2647482854
11,25_to_39_years_Education,Alabama,Education,25_to_39_years,47996.0,3019.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1045134.7352517146,10777.264748285452,826709.2647482854
12,25_to_39_years_Literature_and_Languages,Alabama,Literature_and_Languages,25_to_39_years,45636.0,4654.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-995574.7352517146,8417.264748285452,784229.2647482854
13,25_to_39_years_Liberal_Arts_and_History,Alabama,Liberal_Arts_and_History,25_to_39_years,49751.0,5142.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1081989.7352517145,12532.264748285452,858299.2647482854
14,25_to_39_years_Visual_and_Performing_Arts,Alabama,Visual_and_Performing_Arts,25_to_39_years,41332.0,3573.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-905190.7352517146,4113.264748285452,706757.2647482854
15,25_to_39_years_Communications,Alabama,Communications,25_to_39_years,44332.0,6685.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-968190.7352517146,7113.264748285452,760757.2647482854
16,25_to_39_years_Other,Alabama,Other,25_to_39_years,48237.0,3620.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1050195.7352517145,11018.264748285452,831047.2647482854
17,40_to_64_years_40_to_64_years,Alabama,40_to_64_years,40_to_64_years,73389.0,2520.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1578387.7352517145,36170.26474828545,1283783.2647482855
18,40_to_64_years_Computers_Mathematics_and_Statistics,Alabama,Computers_Mathematics_and_Statistics,40_to_64_years,96701.0,9779.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-2067939.7352517145,59482.26474828545,1703399.2647482855
19,40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Alabama,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,88662.0,12790.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1899120.7352517145,51443.26474828545,1558697.2647482855
20,40_to_64_years_Physical_and_Related_Sciences,Alabama,Physical_and_Related_Sciences,40_to_64_years,106531.0,10248.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-2274369.7352517145,69312.26474828545,1880339.2647482855
21,40_to_64_years_Psychology,Alabama,Psychology,40_to_64_years,52705.0,3739.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1144023.7352517145,15486.264748285452,911471.2647482854
22,40_to_64_years_Social_Sciences,Alabama,Social_Sciences,40_to_64_years,77969.0,8883.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1674567.7352517145,40750.26474828545,1366223.2647482855
23,40_to_64_years_Engineering,Alabama,Engineering,40_to_64_years,121098.0,10289.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-2580276.7352517145,83879.26474828545,2142545.2647482855
24,40_to_64_years_Multidisciplinary_Studies,Alabama,Multidisciplinary_Studies,40_to_64_years,90810.0,23418.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1944228.7352517145,53591.26474828545,1597361.2647482855
25,40_to_64_years_Science_and_Engineering_Related_Fields,Alabama,Science_and_Engineering_Related_Fields,40_to_64_years,76527.0,3126.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1644285.7352517145,39308.26474828545,1340267.2647482855
26,40_to_64_years_Business,Alabama,Business,40_to_64_years,77864.0,4291.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1672362.7352517145,40645.26474828545,1364333.2647482855
27,40_to_64_years_Education,Alabama,Education,40_to_64_years,54386.0,1951.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1179324.7352517145,17167.26474828545,941729.2647482854
28,40_to_64_years_Literature_and_Languages,Alabama,Literature_and_Languages,40_to_64_years,58962.0,6532.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1275420.7352517145,21743.26474828545,1024097.2647482854
29,40_to_64_years_Liberal_Arts_and_History,Alabama,Liberal_Arts_and_History,40_to_64_years,60475.0,5744.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1307193.7352517145,23256.26474828545,1051331.2647482855
30,40_to_64_years_Visual_and_Performing_Arts,Alabama,Visual_and_Performing_Arts,40_to_64_years,52006.0,10496.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1129344.7352517145,14787.264748285452,898889.2647482854
31,40_to_64_years_Communications,Alabama,Communications,40_to_64_years,61407.0,7455.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1326765.7352517145,24188.26474828545,1068107.2647482855
32,40_to_64_years_Other,Alabama,Other,40_to_64_years,65411.0,6991.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1410849.7352517145,28192.26474828545,1140179.2647482855
34,25_to_39_years_25_to_39_years,Alaska,Combined_25_to_39_years,25_to_39_years,65259.0,5884.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1399557.7290500875,36140.27094991247,1145543.2709499125
35,25_to_39_years_Computers_Mathematics_and_Statistics,Alaska,Computers_Mathematics_and_Statistics,25_to_39_years,76786.0,59902.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1641624.7290500875,47667.27094991247,1353029.2709499125
36,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Alaska,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,64688.0,21800.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1387566.7290500875,35569.27094991247,1135265.2709499125
37,25_to_39_years_Physical_and_Related_Sciences,Alaska,Physical_and_Related_Sciences,25_to_39_years,67957.0,15293.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1456215.7290500875,38838.27094991247,1194107.2709499125
38,25_to_39_years_Psychology,Alaska,Psychology,25_to_39_years,70578.0,7386.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1511256.7290500875,41459.27094991247,1241285.2709499125
39,25_to_39_years_Social_Sciences,Alaska,Social_Sciences,25_to_39_years,64250.0,36444.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1378368.7290500875,35131.27094991247,1127381.2709499125
40,25_to_39_years_Engineering,Alaska,Engineering,25_to_39_years,92910.0,25823.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1980228.7290500875,63791.27094991247,1643261.2709499125
41,25_to_39_years_Multidisciplinary_Studies,Alaska,Multidisciplinary_Studies,25_to_39_years,71236.0,36262.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1525074.7290500875,42117.27094991247,1253129.2709499125
42,25_to_39_years_Science_and_Engineering_Related_Fields,Alaska,Science_and_Engineering_Related_Fields,25_to_39_years,62289.0,13284.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1337187.7290500875,33170.27094991247,1092083.2709499125
43,25_to_39_years_Business,Alaska,Business,25_to_39_years,73420.0,15267.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1570938.7290500875,44301.27094991247,1292441.2709499125
44,25_to_39_years_Education,Alaska,Education,25_to_39_years,63555.0,11865.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1363773.7290500875,34436.27094991247,1114871.2709499125
45,25_to_39_years_Literature_and_Languages,Alaska,Literature_and_Languages,25_to_39_years,59733.0,14625.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1283511.7290500875,30614.27094991247,1046075.2709499125
46,25_to_39_years_Liberal_Arts_and_History,Alaska,Liberal_Arts_and_History,25_to_39_years,63558.0,20098.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1363836.7290500875,34439.27094991247,1114925.2709499125
47,25_to_39_years_Visual_and_Performing_Arts,Alaska,Visual_and_Performing_Arts,25_to_39_years,38038.0,15687.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-827916.7290500875,8919.270949912468,655565.2709499125
48,25_to_39_years_Communications,Alaska,Communications,25_to_39_years,56281.0,16123.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1211019.7290500875,27162.27094991247,983939.2709499125
49,25_to_39_years_Other,Alaska,Other,25_to_39_years,62025.0,14819.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1331643.7290500875,32906.27094991247,1087331.2709499125
