,state,education,degree,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39,age_range,sex
168,Alabama,Bachelors_degree,Liberal_Arts_and_History,49751.0,5142.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1081989.7352517145,12532.264748285452,858299.2647482854,25_to_39_years,
167,Alabama,Bachelors_degree,Literature_and_Languages,45636.0,4654.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-995574.7352517146,8417.264748285452,784229.2647482854,25_to_39_years,
163,Alabama,Bachelors_degree,Multidisciplinary_Studies,46004.0,17049.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1003302.7352517146,8785.264748285452,790853.2647482854,25_to_39_years,
171,Alabama,Bachelors_degree,Other,48237.0,3620.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1050195.7352517145,11018.264748285452,831047.2647482854,25_to_39_years,
159,Alabama,Bachelors_degree,Physical_and_Related_Sciences,42097.0,14162.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-921255.7352517146,4878.264748285452,720527.2647482854,25_to_39_years,
160,Alabama,Bachelors_degree,Psychology,48988.0,6409.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1065966.7352517145,11769.264748285452,844565.2647482854,25_to_39_years,
164,Alabama,Bachelors_degree,Science_and_Engineering_Related_Fields,63414.0,3326.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1368912.7352517145,26195.26474828545,1104233.2647482855,25_to_39_years,
161,Alabama,Bachelors_degree,Social_Sciences,53549.0,6065.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1161747.7352517145,16330.264748285452,926663.2647482854,25_to_39_years,
169,Alabama,Bachelors_degree,Visual_and_Performing_Arts,41332.0,3573.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-905190.7352517146,4113.264748285452,706757.2647482854,25_to_39_years,
3,Alaska,Less_than_high_school_graduate,,41145.0,3279.0,AK,18.166666666666668,5589.8,28.5,7364.0,0.0,0.0,0.0,0.0,16.0,-617175.0,41145.0,987480.0,,total
4,Alaska,High_school_graduate_includes_equivalency,,40651.0,2478.0,AK,18.166666666666668,5589.8,28.5,7364.0,0.0,0.0,0.0,0.0,18.0,-691067.0,40651.0,894322.0,,total
5,Alaska,Some_college_or_associates_degree,,51499.0,2127.0,AK,18.166666666666668,5589.8,28.5,7364.0,7364.0,14728.0,159.83750218019472,19180.500261623365,20.0,-997661.5002616234,32318.499738376635,1010799.4997383766,,total
172,Alaska,Bachelors_degree,Combined_25_to_39_years,65259.0,5884.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1399557.7290500875,36140.27094991247,1145543.2709499125,25_to_39_years,
174,Alaska,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,64688.0,21800.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1387566.7290500875,35569.27094991247,1135265.2709499125,25_to_39_years,
181,Alaska,Bachelors_degree,Business,73420.0,15267.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1570938.7290500875,44301.27094991247,1292441.2709499125,25_to_39_years,
186,Alaska,Bachelors_degree,Communications,56281.0,16123.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1211019.7290500875,27162.27094991247,983939.2709499125,25_to_39_years,
173,Alaska,Bachelors_degree,Computers_Mathematics_and_Statistics,76786.0,59902.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1641624.7290500875,47667.27094991247,1353029.2709499125,25_to_39_years,
182,Alaska,Bachelors_degree,Education,63555.0,11865.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1363773.7290500875,34436.27094991247,1114871.2709499125,25_to_39_years,
178,Alaska,Bachelors_degree,Engineering,92910.0,25823.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1980228.7290500875,63791.27094991247,1643261.2709499125,25_to_39_years,
184,Alaska,Bachelors_degree,Liberal_Arts_and_History,63558.0,20098.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1363836.7290500875,34439.27094991247,1114925.2709499125,25_to_39_years,
183,Alaska,Bachelors_degree,Literature_and_Languages,59733.0,14625.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1283511.7290500875,30614.27094991247,1046075.2709499125,25_to_39_years,
179,Alaska,Bachelors_degree,Multidisciplinary_Studies,71236.0,36262.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1525074.7290500875,42117.27094991247,1253129.2709499125,25_to_39_years,
187,Alaska,Bachelors_degree,Other,62025.0,14819.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1331643.7290500875,32906.27094991247,1087331.2709499125,25_to_39_years,
175,Alaska,Bachelors_degree,Physical_and_Related_Sciences,67957.0,15293.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1456215.7290500875,38838.27094991247,1194107.2709499125,25_to_39_years,
176,Alaska,Bachelors_degree,Psychology,70578.0,7386.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1511256.7290500875,41459.27094991247,1241285.2709499125,25_to_39_years,
180,Alaska,Bachelors_degree,Science_and_Engineering_Related_Fields,62289.0,13284.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1337187.7290500875,33170.27094991247,1092083.2709499125,25_to_39_years,
177,Alaska,Bachelors_degree,Social_Sciences,64250.0,36444.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1378368.7290500875,35131.27094991247,1127381.2709499125,25_to_39_years,
185,Alaska,Bachelors_degree,Visual_and_Performing_Arts,38038.0,15687.0,AK,18.166666666666668,5589.8,28.5,7364.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-827916.7290500875,8919.270949912468,655565.2709499125,25_to_39_years,
6,Arizona,Less_than_high_school_graduate,,31966.0,538.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,0.0,0.0,0.0,0.0,16.0,-479490.0,31966.0,767184.0,,total
7,Arizona,High_school_graduate_includes_equivalency,,38547.0,909.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,0.0,0.0,0.0,0.0,18.0,-655299.0,38547.0,848034.0,,total
8,Arizona,Some_college_or_associates_degree,,45115.0,797.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,5916.451612903225,11832.90322580645,128.41809445633294,15410.171334759953,20.0,-872595.1713347599,29704.82866524005,886889.8286652401,,total
188,Arizona,Bachelors_degree,Combined_25_to_39_years,60743.0,802.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1318828.2103164515,17517.789683548588,1050148.7896835485,25_to_39_years,
190,Arizona,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,54925.0,5378.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1196650.2103164515,11699.789683548588,945424.7896835486,25_to_39_years,
197,Arizona,Bachelors_degree,Business,66060.0,1771.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1430485.2103164515,22834.789683548588,1145854.7896835485,25_to_39_years,
