,degree_age_range,state,degree,age_range,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,education,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
1493,25_to_39_years_Multidisciplinary_Studies,Vermont,Multidisciplinary_Studies,25_to_39_years,51552.0,18262.0,VT,57.833333333333336,8276.416666666666,14.0,4687.0,70.5,8430.5,Bachelors_degree,8276.416666666666,33105.666666666664,359.28347827336586,43114.0173928039,22,-1125706.017392804,8437.9826071961,884821.9826071961
1494,25_to_39_years_Science_and_Engineering_Related_Fields,Vermont,Science_and_Engineering_Related_Fields,25_to_39_years,61332.0,11190.0,VT,57.833333333333336,8276.416666666666,14.0,4687.0,70.5,8430.5,Bachelors_degree,8276.416666666666,33105.666666666664,359.28347827336586,43114.0173928039,22,-1331086.017392804,18217.9826071961,1060861.982607196
1495,25_to_39_years_Business,Vermont,Business,25_to_39_years,61781.0,3922.0,VT,57.833333333333336,8276.416666666666,14.0,4687.0,70.5,8430.5,Bachelors_degree,8276.416666666666,33105.666666666664,359.28347827336586,43114.0173928039,22,-1340515.017392804,18666.9826071961,1068943.982607196
1496,25_to_39_years_Education,Vermont,Education,25_to_39_years,53148.0,8442.0,VT,57.833333333333336,8276.416666666666,14.0,4687.0,70.5,8430.5,Bachelors_degree,8276.416666666666,33105.666666666664,359.28347827336586,43114.0173928039,22,-1159222.017392804,10033.9826071961,913549.9826071961
1497,25_to_39_years_Literature_and_Languages,Vermont,Literature_and_Languages,25_to_39_years,55387.0,8139.0,VT,57.833333333333336,8276.416666666666,14.0,4687.0,70.5,8430.5,Bachelors_degree,8276.416666666666,33105.666666666664,359.28347827336586,43114.0173928039,22,-1206241.017392804,12272.9826071961,953851.9826071961
1498,25_to_39_years_Liberal_Arts_and_History,Vermont,Liberal_Arts_and_History,25_to_39_years,51825.0,3904.0,VT,57.833333333333336,8276.416666666666,14.0,4687.0,70.5,8430.5,Bachelors_degree,8276.416666666666,33105.666666666664,359.28347827336586,43114.0173928039,22,-1131439.017392804,8710.9826071961,889735.9826071961
1499,25_to_39_years_Visual_and_Performing_Arts,Vermont,Visual_and_Performing_Arts,25_to_39_years,41655.0,12013.0,VT,57.833333333333336,8276.416666666666,14.0,4687.0,70.5,8430.5,Bachelors_degree,8276.416666666666,33105.666666666664,359.28347827336586,43114.0173928039,22,-917869.0173928039,-1459.0173928039003,706675.9826071961
1500,25_to_39_years_Communications,Vermont,Communications,25_to_39_years,53478.0,6232.0,VT,57.833333333333336,8276.416666666666,14.0,4687.0,70.5,8430.5,Bachelors_degree,8276.416666666666,33105.666666666664,359.28347827336586,43114.0173928039,22,-1166152.017392804,10363.9826071961,919489.9826071961
1501,25_to_39_years_Other,Vermont,Other,25_to_39_years,55186.0,11586.0,VT,57.833333333333336,8276.416666666666,14.0,4687.0,70.5,8430.5,Bachelors_degree,8276.416666666666,33105.666666666664,359.28347827336586,43114.0173928039,22,-1202020.017392804,12071.9826071961,950233.9826071961
1519,25_to_39_years_25_to_39_years,Virginia,Combined_25_to_39_years,25_to_39_years,71413.0,1090.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1541535.2753028078,29550.724697192272,1243571.7246971922
