State,Education,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS,Baseline
Arizona,Bachelor's in Communications,22,55536,12310.78968,30.97120112,32.62006065,0
Arizona,Bachelor's in Computers Mathematics and Statistics,22,82391,39165.78968,25.66080734,25.50262773,0
Arizona,Bachelor's in Education,22,51036,7810.789684,33.32413269,36.80696696,0
Arizona,Bachelor's in Engineering,22,86615,43389.78968,25.3005583,25.10695703,0
Arizona,Bachelor's in Liberal Arts and History,22,56760,13534.78968,30.478955,31.83913745,0
Arizona,Bachelor's in Literature and Languages,22,52459,9233.789684,32.46836531,35.19013875,0
Arizona,Bachelor's in Multidisciplinary Studies,22,54175,10949.78968,31.5822509,33.63202011,0
Arizona,Bachelor's in Other,22,56087,12861.78968,30.74342732,32.25502909,0
Arizona,Bachelor's in Physical and Related Sciences,22,62316,19090.78968,28.74369721,29.30549078,0
Arizona,Bachelor's in Psychology,22,53281,10055.78968,32.02609478,34.39848041,0
Arizona,Bachelor's in Science and Engineering Related Fields,22,62915,19689.78968,28.59382243,29.10133004,0
Arizona,Bachelor's in Social Sciences,22,59144,15918.78968,29.64747996,30.58456136,0
Arizona,Bachelor's in Visual and Performing Arts,22,47658,4432.789684,35.9771355,42.66756781,0
Arizona,HS did not graduate,39,31966,767184,,,1
Arizona,HS graduate,39,38547,848034,,,1
Arizona,Associate Degree,39,45115,886889.8287,,,1
Arizona,All Majors Combined,39,60743,1050148.79,,,0
Arizona,Bachelor's in Biological Agricultural and Environmental Sciences,39,54925,945424.7897,,,0
Arizona,Bachelor's in Business,39,66060,1145854.79,,,0
Arizona,Bachelor's in Communications,39,55536,956422.7897,,,0
Arizona,Bachelor's in Computers Mathematics and Statistics,39,82391,1439812.79,,,0
Arizona,Bachelor's in Education,39,51036,875422.7897,,,0
Arizona,Bachelor's in Engineering,39,86615,1515844.79,,,0
Arizona,Bachelor's in Liberal Arts and History,39,56760,978454.7897,,,0
Arizona,Bachelor's in Literature and Languages,39,52459,901036.7897,,,0
Arizona,Bachelor's in Multidisciplinary Studies,39,54175,931924.7897,,,0
Arizona,Bachelor's in Other,39,56087,966340.7897,,,0
Arizona,Bachelor's in Physical and Related Sciences,39,62316,1078462.79,,,0
Arizona,Bachelor's in Psychology,39,53281,915832.7897,,,0
Arizona,Bachelor's in Science and Engineering Related Fields,39,62915,1089244.79,,,0
Arizona,Bachelor's in Social Sciences,39,59144,1021366.79,,,0
Arizona,Bachelor's in Visual and Performing Arts,39,47658,814618.7897,,,0
Arkansas,HS did not graduate,16,30770,30770,,33.42380571,1
Arkansas,HS graduate,18,34517,34517,33.42380571,,1
Arkansas,Associate Degree,20,38814,27006.16732,35.76875096,37.81355194,1
Arkansas,All Majors Combined,22,52604,19144.26324,30.98807991,30.48348188,0
Arkansas,Bachelor's in Biological Agricultural and Environmental Sciences,22,57000,23540.26324,29.31413407,28.62921927,0
Arkansas,Bachelor's in Business,22,59681,26221.26324,28.54314056,27.81639393,0
Arkansas,Bachelor's in Communications,22,45923,12463.26324,35.39185222,36.03837776,0
Arkansas,Bachelor's in Computers Mathematics and Statistics,22,93027,59567.26324,24.50289504,23.93159694,0
Arkansas,Bachelor's in Education,22,46818,13358.26324,34.5892159,34.94421078,0
Arkansas,Bachelor's in Engineering,22,72789,39329.26324,26.19002682,25.4818075,0
Arkansas,Bachelor's in Liberal Arts and History,22,42657,9197.263242,39.34607022,42.07220353,0
Arkansas,Bachelor's in Literature and Languages,22,50121,16661.26324,32.26968822,31.99254914,0
Arkansas,Bachelor's in Multidisciplinary Studies,22,50461,17001.26324,32.07509709,31.75813703,0
Arkansas,Bachelor's in Other,22,45047,11587.26324,36.27489926,37.28943369,0
Arkansas,Bachelor's in Physical and Related Sciences,22,61495,28035.26324,28.09779452,27.35805978,0
Arkansas,Bachelor's in Psychology,22,42749,9289.263242,39.20517044,41.83670272,0
Arkansas,Bachelor's in Science and Engineering Related Fields,22,61354,27894.26324,28.13051716,27.39146465,0
Arkansas,Bachelor's in Social Sciences,22,49192,15732.26324,32.83800547,32.68843181,0
Arkansas,Bachelor's in Visual and Performing Arts,22,43675,10215.26324,37.89885601,39.72982494,0
Arkansas,HS did not graduate,39,30770,738480,,,1
Arkansas,HS graduate,39,34517,759374,,,1
Arkansas,Associate Degree,39,38814,764472.1673,,,1
Arkansas,All Majors Combined,39,52604,913412.2632,,,0
Arkansas,Bachelor's in Biological Agricultural and Environmental Sciences,39,57000,992540.2632,,,0
Arkansas,Bachelor's in Business,39,59681,1040798.263,,,0
Arkansas,Bachelor's in Communications,39,45923,793154.2632,,,0
Arkansas,Bachelor's in Computers Mathematics and Statistics,39,93027,1641026.263,,,0
Arkansas,Bachelor's in Education,39,46818,809264.2632,,,0
Arkansas,Bachelor's in Engineering,39,72789,1276742.263,,,0
Arkansas,Bachelor's in Liberal Arts and History,39,42657,734366.2632,,,0
Arkansas,Bachelor's in Literature and Languages,39,50121,868718.2632,,,0
Arkansas,Bachelor's in Multidisciplinary Studies,39,50461,874838.2632,,,0
Arkansas,Bachelor's in Other,39,45047,777386.2632,,,0
Arkansas,Bachelor's in Physical and Related Sciences,39,61495,1073450.263,,,0
Arkansas,Bachelor's in Psychology,39,42749,736022.2632,,,0
Arkansas,Bachelor's in Science and Engineering Related Fields,39,61354,1070912.263,,,0
Arkansas,Bachelor's in Social Sciences,39,49192,851996.2632,,,0
Arkansas,Bachelor's in Visual and Performing Arts,39,43675,752690.2632,,,0
California,HS did not graduate,16,30843,30843,,25.04879958,1
California,HS graduate,18,38507,38507,25.04879958,,1
California,Associate Degree,20,47535,30017.43039,27.44054455,29.4709315,1
California,All Majors Combined,22,76005,39710.52924,25.90129912,26.07553658,0
California,Bachelor's in Biological Agricultural and Environmental Sciences,22,74495,38200.52924,26.07084374,26.28849813,0
California,Bachelor's in Business,22,78489,42194.52924,25.64577238,25.76020386,0
California,Bachelor's in Communications,22,70378,34083.52924,26.59889897,26.97165043,0
California,Bachelor's in Computers Mathematics and Statistics,22,106581,70286.52924,23.92260782,23.79581736,0
California,Bachelor's in Education,22,55837,19542.52924,29.85622432,31.98225452,0
California,Bachelor's in Engineering,22,116465,80170.52924,23.58522892,23.44134625,0
California,Bachelor's in Liberal Arts and History,22,63722,27427.52924,27.73233586,28.54798615,0
California,Bachelor's in Literature and Languages,22,63706,27411.52924,27.73561363,28.55277871,0
California,Bachelor's in Multidisciplinary Studies,22,74142,37847.52924,26.11218436,26.34088595,0
California,Bachelor's in Other,22,60909,24614.52924,28.36221881,29.49578032,0
California,Bachelor's in Physical and Related Sciences,22,80828,44533.52924,25.42837793,25.49711658,0
California,Bachelor's in Psychology,22,63246,26951.52924,27.83123386,28.69321601,0
California,Bachelor's in Science and Engineering Related Fields,22,80368,44073.52924,25.46950976,25.54653426,0
California,Bachelor's in Social Sciences,22,75405,39110.52924,25.9672921,26.15807011,0
California,Bachelor's in Visual and Performing Arts,22,58721,22426.52924,28.94004128,30.41537898,0
California,HS did not graduate,39,30843,740232,,,1
California,HS graduate,39,38507,847154,,,1
California,Associate Degree,39,47535,933182.4304,,,1
California,All Majors Combined,39,76005,1331795.529,,,0
California,Bachelor's in Biological Agricultural and Environmental Sciences,39,74495,1304615.529,,,0
California,Bachelor's in Business,39,78489,1376507.529,,,0
California,Bachelor's in Communications,39,70378,1230509.529,,,0
California,Bachelor's in Computers Mathematics and Statistics,39,106581,1882163.529,,,0
California,Bachelor's in Education,39,55837,968771.5292,,,0
California,Bachelor's in Engineering,39,116465,2060075.529,,,0
California,Bachelor's in Liberal Arts and History,39,63722,1110701.529,,,0
California,Bachelor's in Literature and Languages,39,63706,1110413.529,,,0
California,Bachelor's in Multidisciplinary Studies,39,74142,1298261.529,,,0
California,Bachelor's in Other,39,60909,1060067.529,,,0
California,Bachelor's in Physical and Related Sciences,39,80828,1418609.529,,,0
California,Bachelor's in Psychology,39,63246,1102133.529,,,0
California,Bachelor's in Science and Engineering Related Fields,39,80368,1410329.529,,,0
California,Bachelor's in Social Sciences,39,75405,1320995.529,,,0
California,Bachelor's in Visual and Performing Arts,39,58721,1020683.529,,,0
Colorado,HS did not graduate,16,34357,34357,,25.7112069,1
Colorado,HS graduate,18,42245,42245,25.7112069,,1
Colorado,Associate Degree,20,46542,29616.54368,31.66749744,42.60145597,1
Colorado,All Majors Combined,22,67009,32068.04234,28.38340554,29.23457267,0
Colorado,Bachelor's in Biological Agricultural and Environmental Sciences,22,59924,24983.04234,30.42945819,32.53464323,0
Colorado,Bachelor's in Business,22,80460,45519.04234,26.22922495,26.33614962,0
Colorado,Bachelor's in Communications,22,63735,28794.04234,29.20624133,30.48910924,0
Colorado,Bachelor's in Computers Mathematics and Statistics,22,90114,55173.04234,25.32381508,25.25997948,0
Colorado,Bachelor's in Education,22,48184,13243.04234,38.43566628,55.33590801,0
Colorado,Bachelor's in Engineering,22,93554,58613.04234,25.07255364,24.97437014,0
Colorado,Bachelor's in Liberal Arts and History,22,62406,27465.04234,29.59506427,31.11462515,0
Colorado,Bachelor's in Literature and Languages,22,51585,16644.04234,34.99367063,42.83307898,0
Colorado,Bachelor's in Multidisciplinary Studies,22,58763,23822.04234,30.87802006,33.34537823,0
Colorado,Bachelor's in Other,22,62558,27617.04234,29.54873791,31.0389385,0
Colorado,Bachelor's in Physical and Related Sciences,22,67253,32312.04234,28.32864049,29.15422895,0
Colorado,Bachelor's in Psychology,22,54295,19354.04234,33.09163194,37.92290105,0
Colorado,Bachelor's in Science and Engineering Related Fields,22,67357,32416.04234,28.30554417,29.12045865,0
Colorado,Bachelor's in Social Sciences,22,73201,38260.04234,27.20644006,27.58744533,0
Colorado,Bachelor's in Visual and Performing Arts,22,51710,16769.04234,34.89286911,42.54473932,0
Colorado,HS did not graduate,39,34357,824568,,,1
Colorado,HS graduate,39,42245,929390,,,1
Colorado,Associate Degree,39,46542,913914.5437,,,1
Colorado,All Majors Combined,39,67009,1171221.042,,,0
Colorado,Bachelor's in Biological Agricultural and Environmental Sciences,39,59924,1043691.042,,,0
Colorado,Bachelor's in Business,39,80460,1413339.042,,,0
Colorado,Bachelor's in Communications,39,63735,1112289.042,,,0
Colorado,Bachelor's in Computers Mathematics and Statistics,39,90114,1587111.042,,,0
Colorado,Bachelor's in Education,39,48184,832371.0423,,,0
