State,Education,Major,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS
Alaska,Bachelors_degree,Science_and_Engineering_Related_Fields,39,62289,1092083.2709499125,,
Alaska,Bachelors_degree,Social_Sciences,39,64250,1127381.2709499125,,
Alaska,Bachelors_degree,Visual_and_Performing_Arts,39,38038,655565.2709499125,,
Arizona,Less_than_high_school_graduate,,16,31966,31966,,26.71463303
Arizona,High_school_graduate_includes_equivalency,,18,38547,38547,26.71463303,
Arizona,Some_college_or_associates_degree,,20,45115,29704.82866524005,29.89620285,33.08406994
Arizona,Bachelors_degree,Combined_25_to_39_years,22,60743,17517.789683548588,29.16698093,29.89408949
Arizona,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,54925,11699.789683548588,31.23656128,33.05356028
Arizona,Bachelors_degree,Business,22,66060,22834.789683548588,27.89333051,28.17527025
Arizona,Bachelors_degree,Communications,22,55536,12310.789683548588,30.97120112,32.62006065
Arizona,Bachelors_degree,Computers_Mathematics_and_Statistics,22,82391,39165.78968354859,25.66080734,25.50262773
Arizona,Bachelors_degree,Education,22,51036,7810.789683548588,33.32413269,36.80696696
Arizona,Bachelors_degree,Engineering,22,86615,43389.78968354859,25.3005583,25.10695703
Arizona,Bachelors_degree,Liberal_Arts_and_History,22,56760,13534.789683548588,30.478955,31.83913745
Arizona,Bachelors_degree,Literature_and_Languages,22,52459,9233.789683548588,32.46836531,35.19013875
Arizona,Bachelors_degree,Multidisciplinary_Studies,22,54175,10949.789683548588,31.5822509,33.63202011
Arizona,Bachelors_degree,Other,22,56087,12861.789683548588,30.74342732,32.25502909
Arizona,Bachelors_degree,Physical_and_Related_Sciences,22,62316,19090.789683548588,28.74369721,29.30549078
Arizona,Bachelors_degree,Psychology,22,53281,10055.789683548588,32.02609478,34.39848041
Arizona,Bachelors_degree,Science_and_Engineering_Related_Fields,22,62915,19689.789683548588,28.59382243,29.10133004
Arizona,Bachelors_degree,Social_Sciences,22,59144,15918.789683548588,29.64747996,30.58456136
Arizona,Bachelors_degree,Visual_and_Performing_Arts,22,47658,4432.789683548588,35.9771355,42.66756781
Arizona,Less_than_high_school_graduate,,39,31966,767184,,
Arizona,High_school_graduate_includes_equivalency,,39,38547,848034,,
Arizona,Some_college_or_associates_degree,,39,45115,886889.8286652401,,
Arizona,Bachelors_degree,Combined_25_to_39_years,39,60743,1050148.7896835485,,
Arizona,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,54925,945424.7896835486,,
Arizona,Bachelors_degree,Business,39,66060,1145854.7896835485,,
Arizona,Bachelors_degree,Communications,39,55536,956422.7896835486,,
Arizona,Bachelors_degree,Computers_Mathematics_and_Statistics,39,82391,1439812.7896835485,,
Arizona,Bachelors_degree,Education,39,51036,875422.7896835486,,
Arizona,Bachelors_degree,Engineering,39,86615,1515844.7896835485,,
Arizona,Bachelors_degree,Liberal_Arts_and_History,39,56760,978454.7896835486,,
Arizona,Bachelors_degree,Literature_and_Languages,39,52459,901036.7896835486,,
Arizona,Bachelors_degree,Multidisciplinary_Studies,39,54175,931924.7896835486,,
Arizona,Bachelors_degree,Other,39,56087,966340.7896835486,,
Arizona,Bachelors_degree,Physical_and_Related_Sciences,39,62316,1078462.7896835485,,
Arizona,Bachelors_degree,Psychology,39,53281,915832.7896835486,,
Arizona,Bachelors_degree,Science_and_Engineering_Related_Fields,39,62915,1089244.7896835485,,
Arizona,Bachelors_degree,Social_Sciences,39,59144,1021366.7896835486,,
Arizona,Bachelors_degree,Visual_and_Performing_Arts,39,47658,814618.7896835486,,
Arkansas,Less_than_high_school_graduate,,16,30770,30770,,33.42380571
Arkansas,High_school_graduate_includes_equivalency,,18,34517,34517,33.42380571,
Arkansas,Some_college_or_associates_degree,,20,38814,27006.167315855055,35.76875096,37.81355194
Arkansas,Bachelors_degree,Combined_25_to_39_years,22,52604,19144.26324200446,30.98807991,30.48348188
Arkansas,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,57000,23540.26324200446,29.31413407,28.62921927
Arkansas,Bachelors_degree,Business,22,59681,26221.26324200446,28.54314056,27.81639393
Arkansas,Bachelors_degree,Communications,22,45923,12463.263242004461,35.39185222,36.03837776
Arkansas,Bachelors_degree,Computers_Mathematics_and_Statistics,22,93027,59567.26324200446,24.50289504,23.93159694
Arkansas,Bachelors_degree,Education,22,46818,13358.263242004461,34.5892159,34.94421078
Arkansas,Bachelors_degree,Engineering,22,72789,39329.26324200446,26.19002682,25.4818075
Arkansas,Bachelors_degree,Liberal_Arts_and_History,22,42657,9197.263242004461,39.34607022,42.07220353
Arkansas,Bachelors_degree,Literature_and_Languages,22,50121,16661.26324200446,32.26968822,31.99254914
Arkansas,Bachelors_degree,Multidisciplinary_Studies,22,50461,17001.26324200446,32.07509709,31.75813703
Arkansas,Bachelors_degree,Other,22,45047,11587.263242004461,36.27489926,37.28943369
Arkansas,Bachelors_degree,Physical_and_Related_Sciences,22,61495,28035.26324200446,28.09779452,27.35805978
Arkansas,Bachelors_degree,Psychology,22,42749,9289.263242004461,39.20517044,41.83670272
Arkansas,Bachelors_degree,Science_and_Engineering_Related_Fields,22,61354,27894.26324200446,28.13051716,27.39146465
Arkansas,Bachelors_degree,Social_Sciences,22,49192,15732.263242004461,32.83800547,32.68843181
Arkansas,Bachelors_degree,Visual_and_Performing_Arts,22,43675,10215.263242004461,37.89885601,39.72982494
Arkansas,Less_than_high_school_graduate,,39,30770,738480,,
Arkansas,High_school_graduate_includes_equivalency,,39,34517,759374,,
Arkansas,Some_college_or_associates_degree,,39,38814,764472.1673,,
Arkansas,Bachelors_degree,Combined_25_to_39_years,39,52604,913412.2632420044,,
Arkansas,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,57000,992540.2632420044,,
Arkansas,Bachelors_degree,Business,39,59681,1040798.2632420044,,
Arkansas,Bachelors_degree,Communications,39,45923,793154.2632420044,,
Arkansas,Bachelors_degree,Computers_Mathematics_and_Statistics,39,93027,1641026.2632420044,,
Arkansas,Bachelors_degree,Education,39,46818,809264.2632420044,,
Arkansas,Bachelors_degree,Engineering,39,72789,1276742.2632420044,,
Arkansas,Bachelors_degree,Liberal_Arts_and_History,39,42657,734366.2632420044,,
Arkansas,Bachelors_degree,Literature_and_Languages,39,50121,868718.2632420044,,
Arkansas,Bachelors_degree,Multidisciplinary_Studies,39,50461,874838.2632420044,,
Arkansas,Bachelors_degree,Other,39,45047,777386.2632420044,,
Arkansas,Bachelors_degree,Physical_and_Related_Sciences,39,61495,1073450.2632420044,,
Arkansas,Bachelors_degree,Psychology,39,42749,736022.2632420044,,
Arkansas,Bachelors_degree,Science_and_Engineering_Related_Fields,39,61354,1070912.2632420044,,
Arkansas,Bachelors_degree,Social_Sciences,39,49192,851996.2632420044,,
Arkansas,Bachelors_degree,Visual_and_Performing_Arts,39,43675,752690.2632420044,,
California,Less_than_high_school_graduate,,16,30843,30843,,25.04879958
California,High_school_graduate_includes_equivalency,,18,38507,38507,25.04879958,
California,Some_college_or_associates_degree,,20,47535,30017.430391326685,27.44054455,29.4709315
California,Bachelors_degree,Combined_25_to_39_years,22,76005,39710.529236805975,25.90129912,26.07553658
California,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,74495,38200.529236805975,26.07084374,26.28849813
California,Bachelors_degree,Business,22,78489,42194.529236805975,25.64577238,25.76020386
California,Bachelors_degree,Communications,22,70378,34083.529236805975,26.59889897,26.97165043
California,Bachelors_degree,Computers_Mathematics_and_Statistics,22,106581,70286.52923680597,23.92260782,23.79581736
California,Bachelors_degree,Education,22,55837,19542.529236805975,29.85622432,31.98225452
California,Bachelors_degree,Engineering,22,116465,80170.52923680597,23.58522892,23.44134625
California,Bachelors_degree,Liberal_Arts_and_History,22,63722,27427.529236805975,27.73233586,28.54798615
California,Bachelors_degree,Literature_and_Languages,22,63706,27411.529236805975,27.73561363,28.55277871
California,Bachelors_degree,Multidisciplinary_Studies,22,74142,37847.529236805975,26.11218436,26.34088595
California,Bachelors_degree,Other,22,60909,24614.529236805975,28.36221881,29.49578032
California,Bachelors_degree,Physical_and_Related_Sciences,22,80828,44533.529236805975,25.42837793,25.49711658
California,Bachelors_degree,Psychology,22,63246,26951.529236805975,27.83123386,28.69321601
California,Bachelors_degree,Science_and_Engineering_Related_Fields,22,80368,44073.529236805975,25.46950976,25.54653426
California,Bachelors_degree,Social_Sciences,22,75405,39110.529236805975,25.9672921,26.15807011
California,Bachelors_degree,Visual_and_Performing_Arts,22,58721,22426.529236805975,28.94004128,30.41537898
California,Less_than_high_school_graduate,,39,30843,740232,,
California,High_school_graduate_includes_equivalency,,39,38507,847154,,
California,Some_college_or_associates_degree,,39,47535,933182.4303913267,,
California,Bachelors_degree,Combined_25_to_39_years,39,76005,1331795.529236806,,
California,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,74495,1304615.529236806,,
California,Bachelors_degree,Business,39,78489,1376507.529236806,,
California,Bachelors_degree,Communications,39,70378,1230509.529236806,,
California,Bachelors_degree,Computers_Mathematics_and_Statistics,39,106581,1882163.529236806,,
California,Bachelors_degree,Education,39,55837,968771.5292,,
California,Bachelors_degree,Engineering,39,116465,2060075.529236806,,
California,Bachelors_degree,Liberal_Arts_and_History,39,63722,1110701.529236806,,
California,Bachelors_degree,Literature_and_Languages,39,63706,1110413.529236806,,
California,Bachelors_degree,Multidisciplinary_Studies,39,74142,1298261.529236806,,
California,Bachelors_degree,Other,39,60909,1060067.529236806,,
California,Bachelors_degree,Physical_and_Related_Sciences,39,80828,1418609.529236806,,
California,Bachelors_degree,Psychology,39,63246,1102133.529236806,,
California,Bachelors_degree,Science_and_Engineering_Related_Fields,39,80368,1410329.529236806,,
California,Bachelors_degree,Social_Sciences,39,75405,1320995.529236806,,
California,Bachelors_degree,Visual_and_Performing_Arts,39,58721,1020683.529236806,,
Colorado,Less_than_high_school_graduate,,16,34357,34357,,25.7112069
Colorado,High_school_graduate_includes_equivalency,,18,42245,42245,25.7112069,
Colorado,Some_college_or_associates_degree,,20,46542,29616.543675448323,31.66749744,42.60145597
Colorado,Bachelors_degree,Combined_25_to_39_years,22,67009,32068.04233726085,28.38340554,29.23457267
Colorado,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,59924,24983.04233726085,30.42945819,32.53464323
Colorado,Bachelors_degree,Business,22,80460,45519.04233726085,26.22922495,26.33614962
Colorado,Bachelors_degree,Communications,22,63735,28794.04233726085,29.20624133,30.48910924
Colorado,Bachelors_degree,Computers_Mathematics_and_Statistics,22,90114,55173.04233726085,25.32381508,25.25997948
Colorado,Bachelors_degree,Education,22,48184,13243.04233726085,38.43566628,55.33590801
Colorado,Bachelors_degree,Engineering,22,93554,58613.04233726085,25.07255364,24.97437014
Colorado,Bachelors_degree,Liberal_Arts_and_History,22,62406,27465.04233726085,29.59506427,31.11462515
Colorado,Bachelors_degree,Literature_and_Languages,22,51585,16644.04233726085,34.99367063,42.83307898
Colorado,Bachelors_degree,Multidisciplinary_Studies,22,58763,23822.04233726085,30.87802006,33.34537823
Colorado,Bachelors_degree,Other,22,62558,27617.04233726085,29.54873791,31.0389385
Colorado,Bachelors_degree,Physical_and_Related_Sciences,22,67253,32312.04233726085,28.32864049,29.15422895
Colorado,Bachelors_degree,Psychology,22,54295,19354.04233726085,33.09163194,37.92290105
Colorado,Bachelors_degree,Science_and_Engineering_Related_Fields,22,67357,32416.04233726085,28.30554417,29.12045865
Colorado,Bachelors_degree,Social_Sciences,22,73201,38260.04233726085,27.20644006,27.58744533
Colorado,Bachelors_degree,Visual_and_Performing_Arts,22,51710,16769.04233726085,34.89286911,42.54473932
Colorado,Less_than_high_school_graduate,,39,34357,824568,,
Colorado,High_school_graduate_includes_equivalency,,39,42245,929390,,
Colorado,Some_college_or_associates_degree,,39,46542,913914.5436754483,,
Colorado,Bachelors_degree,Combined_25_to_39_years,39,67009,1171221.042337261,,
Colorado,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,59924,1043691.0423372609,,
Colorado,Bachelors_degree,Business,39,80460,1413339.042337261,,
Colorado,Bachelors_degree,Communications,39,63735,1112289.042337261,,
Colorado,Bachelors_degree,Computers_Mathematics_and_Statistics,39,90114,1587111.042337261,,
Colorado,Bachelors_degree,Education,39,48184,832371.0423372609,,
Colorado,Bachelors_degree,Engineering,39,93554,1649031.042337261,,
Colorado,Bachelors_degree,Liberal_Arts_and_History,39,62406,1088367.042337261,,
Colorado,Bachelors_degree,Literature_and_Languages,39,51585,893589.0423372609,,
Colorado,Bachelors_degree,Multidisciplinary_Studies,39,58763,1022793.0423372609,,
Colorado,Bachelors_degree,Other,39,62558,1091103.042337261,,
Colorado,Bachelors_degree,Physical_and_Related_Sciences,39,67253,1175613.042337261,,
Colorado,Bachelors_degree,Psychology,39,54295,942369.0423372609,,
Colorado,Bachelors_degree,Science_and_Engineering_Related_Fields,39,67357,1177485.042337261,,
Colorado,Bachelors_degree,Social_Sciences,39,73201,1282677.042337261,,
Colorado,Bachelors_degree,Visual_and_Performing_Arts,39,51710,895839.0423372609,,
Connecticut,Less_than_high_school_graduate,,16,31767,31767,,23.45473941
Connecticut,High_school_graduate_includes_equivalency,,18,41610,41610,23.45473941,
Connecticut,Some_college_or_associates_degree,,20,49709,33597.91228,26.98010744,31.2646114
Connecticut,Bachelors_degree,Combined_25_to_39_years,22,71512,30272.281516624942,26.8332298,27.94534541
Connecticut,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,75037,33797.28151662494,26.35802446,27.21293321
Connecticut,Bachelors_degree,Business,22,80851,39611.28151662494,25.72336644,26.29241657
Connecticut,Bachelors_degree,Communications,22,70716,29476.281516624942,26.95244341,28.13528889
Connecticut,Bachelors_degree,Computers_Mathematics_and_Statistics,22,80949,39709.28151662494,25.71395467,26.27923228
Connecticut,Bachelors_degree,Education,22,63127,21887.281516624942,28.39291194,30.65189006
Connecticut,Bachelors_degree,Engineering,22,94186,52946.28151662494,24.7142812,24.95008594
Connecticut,Bachelors_degree,Liberal_Arts_and_History,22,66632,25392.281516624942,27.64969793,29.29988484
Connecticut,Bachelors_degree,Literature_and_Languages,22,58192,16952.281516624942,29.77357497,33.5244071
Connecticut,Bachelors_degree,Multidisciplinary_Studies,22,71408,30168.281516624942,26.84853355,27.96958583
Connecticut,Bachelors_degree,Other,22,64746,23506.281516624942,28.02998024,29.97647469
Connecticut,Bachelors_degree,Physical_and_Related_Sciences,22,69743,28503.281516624942,27.10495362,28.38206798
Connecticut,Bachelors_degree,Psychology,22,61932,20692.281516624942,28.68578546,31.21945274
Connecticut,Bachelors_degree,Science_and_Engineering_Related_Fields,22,71259,30019.281516624942,26.87059958,28.00461123
Connecticut,Bachelors_degree,Social_Sciences,22,67955,26715.281516624942,27.40659109,28.88307908
Connecticut,Bachelors_degree,Visual_and_Performing_Arts,22,54400,13160.281516624942,31.24352576,37.23766368
Connecticut,Less_than_high_school_graduate,,39,31767,762408,,
Connecticut,High_school_graduate_includes_equivalency,,39,41610,915420,,
Connecticut,Some_college_or_associates_degree,,39,49709,978068.9122825069,,
Connecticut,Bachelors_degree,Combined_25_to_39_years,39,71512,1245976.2815166248,,
Connecticut,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,75037,1309426.2815166248,,
Connecticut,Bachelors_degree,Business,39,80851,1414078.2815166248,,
Connecticut,Bachelors_degree,Communications,39,70716,1231648.2815166248,,
Connecticut,Bachelors_degree,Computers_Mathematics_and_Statistics,39,80949,1415842.2815166248,,
Connecticut,Bachelors_degree,Education,39,63127,1095046.2815166248,,
Connecticut,Bachelors_degree,Engineering,39,94186,1654108.2815166248,,
Connecticut,Bachelors_degree,Liberal_Arts_and_History,39,66632,1158136.2815166248,,
Connecticut,Bachelors_degree,Literature_and_Languages,39,58192,1006216.281516625,,
Connecticut,Bachelors_degree,Multidisciplinary_Studies,39,71408,1244104.2815166248,,
Connecticut,Bachelors_degree,Other,39,64746,1124188.2815166248,,
Connecticut,Bachelors_degree,Physical_and_Related_Sciences,39,69743,1214134.2815166248,,
Connecticut,Bachelors_degree,Psychology,39,61932,1073536.2815166248,,
Connecticut,Bachelors_degree,Science_and_Engineering_Related_Fields,39,71259,1241422.2815166248,,
Connecticut,Bachelors_degree,Social_Sciences,39,67955,1181950.2815166248,,
Connecticut,Bachelors_degree,Visual_and_Performing_Arts,39,54400,937960.2815,,
Delaware,Less_than_high_school_graduate,,16,34578,34578,,30.19267455
Delaware,High_school_graduate_includes_equivalency,,18,39820,39820,30.19267455,
Delaware,Some_college_or_associates_degree,,20,44530,24794.71340544266,34.88095725,40.09878696
Delaware,Bachelors_degree,Combined_25_to_39_years,22,65284,30403.82790554651,28.89253475,28.62488894
Delaware,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,70784,35903.82790554651,27.69359145,27.27051324
Delaware,Bachelors_degree,Business,22,77211,42330.82790554651,26.68452073,26.19269803
Delaware,Bachelors_degree,Communications,22,36346,1465.827906,158.074758,-34.88951413
Delaware,Bachelors_degree,Computers_Mathematics_and_Statistics,22,45437,10556.82790554651,43.31772466,55.56652521
Delaware,Bachelors_degree,Education,22,60253,25372.82790554651,30.43907194,30.50228415
Delaware,Bachelors_degree,Engineering,22,87564,52683.82790554651,25.5738152,25.06669261
Delaware,Bachelors_degree,Liberal_Arts_and_History,22,75703,40822.82790554651,26.89296467,26.41092362
Delaware,Bachelors_degree,Literature_and_Languages,22,55543,20662.82790554651,32.55965524,33.34879934
Delaware,Bachelors_degree,Multidisciplinary_Studies,22,59192,24311.82790554651,30.84594833,31.02272208
Delaware,Bachelors_degree,Other,22,58868,23987.82790554651,30.97728168,31.19320517
Delaware,Bachelors_degree,Physical_and_Related_Sciences,22,70041,35160.82790554651,27.83383166,27.42467728
Delaware,Bachelors_degree,Psychology,22,66239,31358.82790554651,28.65446992,28.34926273
Delaware,Bachelors_degree,Science_and_Engineering_Related_Fields,22,75410,40529.82790554651,26.93525108,26.45546985
Delaware,Bachelors_degree,Social_Sciences,22,53167,18286.82790554651,34.03718178,35.54710213
Delaware,Bachelors_degree,Visual_and_Performing_Arts,22,40318,5437.827906,63.2209359,410.8798636
Delaware,Less_than_high_school_graduate,,39,34578,829872,,
Delaware,High_school_graduate_includes_equivalency,,39,39820,876040,,
Delaware,Some_college_or_associates_degree,,39,44530,870864.7134054427,,
Delaware,Bachelors_degree,Combined_25_to_39_years,39,65284,1140231.8279055464,,
Delaware,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,70784,1239231.8279055464,,
Delaware,Bachelors_degree,Business,39,77211,1354917.8279055464,,
Delaware,Bachelors_degree,Communications,39,36346,619347.8279055465,,
Delaware,Bachelors_degree,Computers_Mathematics_and_Statistics,39,45437,782985.8279055465,,
Delaware,Bachelors_degree,Education,39,60253,1049673.8279055464,,
Delaware,Bachelors_degree,Engineering,39,87564,1541271.8279055464,,
Delaware,Bachelors_degree,Liberal_Arts_and_History,39,75703,1327773.8279055464,,
Delaware,Bachelors_degree,Literature_and_Languages,39,55543,964893.8279055465,,
Delaware,Bachelors_degree,Multidisciplinary_Studies,39,59192,1030575.8279055465,,
Delaware,Bachelors_degree,Other,39,58868,1024743.8279055465,,
Delaware,Bachelors_degree,Physical_and_Related_Sciences,39,70041,1225857.8279055464,,
Delaware,Bachelors_degree,Psychology,39,66239,1157421.8279055464,,
Delaware,Bachelors_degree,Science_and_Engineering_Related_Fields,39,75410,1322499.8279055464,,
Delaware,Bachelors_degree,Social_Sciences,39,53167,922125.8279055465,,
Delaware,Bachelors_degree,Visual_and_Performing_Arts,39,40318,690843.8279055465,,
District_of_Columbia,Less_than_high_school_graduate,,16,26970,26970,,21.63840399
District_of_Columbia,High_school_graduate_includes_equivalency,,18,38599,38599,21.63840399,
District_of_Columbia,Some_college_or_associates_degree,,20,48566,31107.160611941687,24.80379882,28.49702412
District_of_Columbia,Bachelors_degree,Combined_25_to_39_years,22,89341,54840.062131251616,24.14763172,24.72269398
District_of_Columbia,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,93784,59283.062131251616,23.93832038,24.42297613
District_of_Columbia,Bachelors_degree,Business,22,102628,68127.06213125162,23.59484705,23.95017785
District_of_Columbia,Bachelors_degree,Communications,22,77293,42792.062131251616,24.9012169,25.8818147
District_of_Columbia,Bachelors_degree,Computers_Mathematics_and_Statistics,22,104594,70093.06213125162,23.52912679,23.86229166
District_of_Columbia,Bachelors_degree,Education,22,70485,35984.062131251616,25.51156929,26.92413404
District_of_Columbia,Bachelors_degree,Engineering,22,112447,77946.06213125162,23.29676916,23.55791542
District_of_Columbia,Bachelors_degree,Liberal_Arts_and_History,22,97090,62589.062131251616,23.79978519,24.22950433
District_of_Columbia,Bachelors_degree,Literature_and_Languages,22,86784,52283.062131251616,24.28219042,24.9202436
District_of_Columbia,Bachelors_degree,Multidisciplinary_Studies,22,82696,48195.062131251616,24.52296841,25.28366868
District_of_Columbia,Bachelors_degree,Other,22,76995,42494.062131251616,24.92445653,25.91970356
