State,Education,Major
Arkansas,Some_college_or_associates_degree,
Arkansas,Bachelors_degree,Combined_25_to_39_years
Arkansas,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Arkansas,Bachelors_degree,Business
Arkansas,Bachelors_degree,Communications
Arkansas,Bachelors_degree,Computers_Mathematics_and_Statistics
Arkansas,Bachelors_degree,Education
Arkansas,Bachelors_degree,Engineering
Arkansas,Bachelors_degree,Liberal_Arts_and_History
Arkansas,Bachelors_degree,Literature_and_Languages
Arkansas,Bachelors_degree,Multidisciplinary_Studies
Arkansas,Bachelors_degree,Other
Arkansas,Bachelors_degree,Physical_and_Related_Sciences
Arkansas,Bachelors_degree,Psychology
Arkansas,Bachelors_degree,Science_and_Engineering_Related_Fields
Arkansas,Bachelors_degree,Social_Sciences
Arkansas,Bachelors_degree,Visual_and_Performing_Arts
California,Less_than_high_school_graduate,
California,High_school_graduate_includes_equivalency,
California,Some_college_or_associates_degree,
California,Bachelors_degree,Combined_25_to_39_years
California,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
California,Bachelors_degree,Business
California,Bachelors_degree,Communications
California,Bachelors_degree,Computers_Mathematics_and_Statistics
California,Bachelors_degree,Education
California,Bachelors_degree,Engineering
California,Bachelors_degree,Liberal_Arts_and_History
California,Bachelors_degree,Literature_and_Languages
California,Bachelors_degree,Multidisciplinary_Studies
California,Bachelors_degree,Other
California,Bachelors_degree,Physical_and_Related_Sciences
California,Bachelors_degree,Psychology
California,Bachelors_degree,Science_and_Engineering_Related_Fields
California,Bachelors_degree,Social_Sciences
California,Bachelors_degree,Visual_and_Performing_Arts
California,Less_than_high_school_graduate,
California,High_school_graduate_includes_equivalency,
California,Some_college_or_associates_degree,
California,Bachelors_degree,Combined_25_to_39_years
California,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
California,Bachelors_degree,Business
California,Bachelors_degree,Communications
California,Bachelors_degree,Computers_Mathematics_and_Statistics
California,Bachelors_degree,Education
California,Bachelors_degree,Engineering
California,Bachelors_degree,Liberal_Arts_and_History
California,Bachelors_degree,Literature_and_Languages
California,Bachelors_degree,Multidisciplinary_Studies
California,Bachelors_degree,Other
California,Bachelors_degree,Physical_and_Related_Sciences
California,Bachelors_degree,Psychology
California,Bachelors_degree,Science_and_Engineering_Related_Fields
California,Bachelors_degree,Social_Sciences
California,Bachelors_degree,Visual_and_Performing_Arts
Colorado,Less_than_high_school_graduate,
Colorado,High_school_graduate_includes_equivalency,
Colorado,Some_college_or_associates_degree,
Colorado,Bachelors_degree,Combined_25_to_39_years
Colorado,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Colorado,Bachelors_degree,Business
Colorado,Bachelors_degree,Communications
