"GEO_ID","NAME","B20004_001E","B20004_001EA","B20004_001M","B20004_001MA","B20004_002E","B20004_002EA","B20004_002M","B20004_002MA","B20004_003E","B20004_003EA","B20004_003M","B20004_003MA","B20004_004E","B20004_004M","B20004_004MA","B20004_004EA","B20004_005E","B20004_005EA","B20004_005M","B20004_005MA","B20004_006E","B20004_006EA","B20004_006M","B20004_006MA","B20004_007E","B20004_007EA","B20004_007M","B20004_007MA","B20004_008E","B20004_008EA","B20004_008M","B20004_008MA","B20004_009E","B20004_009EA","B20004_009M","B20004_009MA","B20004_010E","B20004_010EA","B20004_010M","B20004_010MA","B20004_011E","B20004_011EA","B20004_011M","B20004_011MA","B20004_012E","B20004_012EA","B20004_012M","B20004_012MA","B20004_013E","B20004_013EA","B20004_013M","B20004_013MA","B20004_014E","B20004_014EA","B20004_014M","B20004_014MA","B20004_015E","B20004_015EA","B20004_015M","B20004_015MA","B20004_016E","B20004_016EA","B20004_016M","B20004_016MA","B20004_017E","B20004_017EA","B20004_017M","B20004_017MA","B20004_018E","B20004_018EA","B20004_018M","B20004_018MA",
"0400000US12","Florida","44036","null","330","null","28063","null","876","null","34769","null","469","null","41565","288","null","null","56243","null","818","null","74215","null","1259","null","50390","null","317","null","31747","null","405","null","40223","null","326","null","49272","null","794","null","68211","null","1806","null","92458","null","2598","null","38794","null","490","null","23116","null","922","null","28801","null","679","null","35768","null","485","null","49658","null","628","null","63436","null","1064","null",
"0400000US13","Georgia","47625","null","512","null","30325","null","631","null","35880","null","536","null","42139","452","null","null","63803","null","738","null","78550","null","1341","null","53727","null","487","null","35322","null","1234","null","40780","null","664","null","51535","null","670","null","77724","null","1807","null","97736","null","4102","null","41035","null","371","null","23559","null","1065","null","30448","null","438","null","35608","null","657","null","53933","null","873","null","67566","null","1268","null",
"0400000US15","Hawaii","50993","null","644","null","29829","null","4287","null","41441","null","1095","null","46737","1326","null","null","61880","null","1700","null","79653","null","2735","null","58631","null","2361","null","32657","null","3895","null","46853","null","2579","null","55330","null","2763","null","73106","null","4115","null","91973","null","5673","null","43648","null","1290","null","24937","null","2860","null","35222","null","2283","null","37786","null","1801","null","52054","null","2860","null","72303","null","3176","null",
"0400000US16","Idaho","43844","null","772","null","35192","null","2579","null","37406","null","1078","null","40546","696","null","null","54796","null","2048","null","72869","null","3340","null","52590","null","1068","null","40811","null","1984","null","44854","null","1989","null","48865","null","2181","null","70954","null","4542","null","91379","null","6910","null","35901","null","897","null","25526","null","2786","null","28255","null","2480","null","31820","null","834","null","44182","null","2116","null","61281","null","2236","null",
"0400000US17","Illinois","51922","null","298","null","31826","null","508","null","38766","null","778","null","44169","589","null","null","68489","null","1145","null","84140","null","1200","null","60342","null","469","null","36859","null","981","null","45259","null","832","null","54038","null","869","null","81797","null","1026","null","101807","null","1225","null","43895","null","574","null","24634","null","1130","null","30700","null","546","null","36945","null","494","null","58123","null","1356","null","74097","null","1067","null",
"0400000US18","Indiana","46623","null","410","null","32019","null","746","null","38553","null","630","null","44403","656","null","null","58609","null","1231","null","73559","null","2217","null","55045","null","602","null","36684","null","1547","null","45412","null","1068","null","56010","null","1022","null","72252","null","1474","null","87503","null","3790","null","39409","null","544","null","25186","null","2015","null","30327","null","513","null","36283","null","597","null","49725","null","1090","null","64824","null","2261","null",
"0400000US19","Iowa","48569","null","620","null","32968","null","2066","null","39439","null","863","null","45837","899","null","null","58561","null","1365","null","73926","null","1640","null","54659","null","553","null","39736","null","3192","null","46204","null","770","null","55043","null","1081","null","70800","null","2172","null","85132","null","5330","null","41081","null","536","null","27090","null","2003","null","28860","null","1606","null","37609","null","1138","null","50826","null","1068","null","67618","null","1807","null",
"0400000US20","Kansas","47295","null","608","null","32838","null","1788","null","36659","null","834","null","42026","612","null","null","58583","null","1296","null","70216","null","2564","null","54766","null","880","null","39766","null","2713","null","43736","null","1130","null","52063","null","1099","null","71346","null","2248","null","85863","null","3073","null","40087","null","583","null","25570","null","2049","null","28895","null","1712","null","34874","null","1221","null","49010","null","1669","null","61952","null","1591","null",
"0400000US21","Kentucky","43032","null","581","null","27314","null","1182","null","35301","null","680","null","40667","587","null","null","55682","null","1551","null","67351","null","2115","null","51094","null","593","null","31553","null","1522","null","41636","null","646","null","49791","null","1558","null","68927","null","2881","null","82917","null","3128","null","37550","null","626","null","22480","null","1938","null","27044","null","880","null","34083","null","1070","null","47218","null","2028","null","59426","null","1694","null",
"0400000US22","Louisiana","43207","null","748","null","25977","null","890","null","33568","null","1577","null","40916","730","null","null","55685","null","1818","null","65857","null","2150","null","52246","null","588","null","31573","null","1190","null","44990","null","1372","null","52442","null","1209","null","69378","null","2406","null","82457","null","3355","null","35758","null","695","null","19570","null","2349","null","25942","null","569","null","32208","null","987","null","49249","null","1882","null","58210","null","2444","null",
