state,sex,education,estimate,margin_of_error
Delaware,male,High_school_graduate_includes_equivalency,42981,3760
Delaware,male,Some_college_or_associates_degree,52602,2753
Delaware,male,Bachelors_degree,77214,5283
Delaware,male,Graduate_or_professional_degree,95071,6549
Delaware,female,Female,44788,1369
Delaware,female,Less_than_high_school_graduate,30571,3806
Delaware,female,High_school_graduate_includes_equivalency,33331,2214
Delaware,female,Some_college_or_associates_degree,41335,1119
Delaware,female,Bachelors_degree,51472,2201
Delaware,female,Graduate_or_professional_degree,69691,3640
District_of_Columbia,total,Total,83510,2750
District_of_Columbia,total,Less_than_high_school_graduate,26970,6116
District_of_Columbia,total,High_school_graduate_includes_equivalency,38599,4544
District_of_Columbia,total,Some_college_or_associates_degree,48566,3947
District_of_Columbia,total,Bachelors_degree,83903,2914
District_of_Columbia,total,Graduate_or_professional_degree,113205,6360
District_of_Columbia,male,Male,91657,2957
District_of_Columbia,male,Less_than_high_school_graduate,42019,9566
District_of_Columbia,male,High_school_graduate_includes_equivalency,38283,4907
District_of_Columbia,male,Some_college_or_associates_degree,51323,3793
District_of_Columbia,male,Bachelors_degree,91796,6419
District_of_Columbia,male,Graduate_or_professional_degree,128604,4570
District_of_Columbia,female,Female,78678,2673
District_of_Columbia,female,Less_than_high_school_graduate,23332,1904
District_of_Columbia,female,High_school_graduate_includes_equivalency,39098,11131
District_of_Columbia,female,Some_college_or_associates_degree,46535,4047
District_of_Columbia,female,Bachelors_degree,79072,3129
District_of_Columbia,female,Graduate_or_professional_degree,102191,3215
Florida,total,Total,44036,330
Florida,total,Less_than_high_school_graduate,28063,876
Florida,total,High_school_graduate_includes_equivalency,34769,469
Florida,total,Some_college_or_associates_degree,41565,288
Florida,total,Bachelors_degree,56243,818
Florida,total,Graduate_or_professional_degree,74215,1259
Florida,male,Male,50390,317
Florida,male,Less_than_high_school_graduate,31747,405
Florida,male,High_school_graduate_includes_equivalency,40223,326
Florida,male,Some_college_or_associates_degree,49272,794
Florida,male,Bachelors_degree,68211,1806
Florida,male,Graduate_or_professional_degree,92458,2598
Florida,female,Female,38794,490
Florida,female,Less_than_high_school_graduate,23116,922
Florida,female,High_school_graduate_includes_equivalency,28801,679
Florida,female,Some_college_or_associates_degree,35768,485
Florida,female,Bachelors_degree,49658,628
Florida,female,Graduate_or_professional_degree,63436,1064
Georgia,total,Total,47625,512
Georgia,total,Less_than_high_school_graduate,30325,631
Georgia,total,High_school_graduate_includes_equivalency,35880,536
Georgia,total,Some_college_or_associates_degree,42139,452
Georgia,total,Bachelors_degree,63803,738
Georgia,total,Graduate_or_professional_degree,78550,1341
Georgia,male,Male,53727,487
Georgia,male,Less_than_high_school_graduate,35322,1234
Georgia,male,High_school_graduate_includes_equivalency,40780,664
Georgia,male,Some_college_or_associates_degree,51535,670
Georgia,male,Bachelors_degree,77724,1807
Georgia,male,Graduate_or_professional_degree,97736,4102
Georgia,female,Female,41035,371
Georgia,female,Less_than_high_school_graduate,23559,1065
Georgia,female,High_school_graduate_includes_equivalency,30448,438
Georgia,female,Some_college_or_associates_degree,35608,657
Georgia,female,Bachelors_degree,53933,873
Georgia,female,Graduate_or_professional_degree,67566,1268
Hawaii,total,Total,50993,644
Hawaii,total,Less_than_high_school_graduate,29829,4287
Hawaii,total,High_school_graduate_includes_equivalency,41441,1095
Hawaii,total,Some_college_or_associates_degree,46737,1326
Hawaii,total,Bachelors_degree,61880,1700
Hawaii,total,Graduate_or_professional_degree,79653,2735
Hawaii,male,Male,58631,2361
Hawaii,male,Less_than_high_school_graduate,32657,3895
Hawaii,male,High_school_graduate_includes_equivalency,46853,2579
Hawaii,male,Some_college_or_associates_degree,55330,2763
Hawaii,male,Bachelors_degree,73106,4115
Hawaii,male,Graduate_or_professional_degree,91973,5673
Hawaii,female,Female,43648,1290
Hawaii,female,Less_than_high_school_graduate,24937,2860
Hawaii,female,High_school_graduate_includes_equivalency,35222,2283
Hawaii,female,Some_college_or_associates_degree,37786,1801
Hawaii,female,Bachelors_degree,52054,2860
Hawaii,female,Graduate_or_professional_degree,72303,3176
Idaho,total,Total,43844,772
Idaho,total,Less_than_high_school_graduate,35192,2579
Idaho,total,High_school_graduate_includes_equivalency,37406,1078
Idaho,total,Some_college_or_associates_degree,40546,696
Idaho,total,Bachelors_degree,54796,2048
Idaho,total,Graduate_or_professional_degree,72869,3340
Idaho,male,Male,52590,1068
Idaho,male,Less_than_high_school_graduate,40811,1984
Idaho,male,High_school_graduate_includes_equivalency,44854,1989
Idaho,male,Some_college_or_associates_degree,48865,2181
Idaho,male,Bachelors_degree,70954,4542
Idaho,male,Graduate_or_professional_degree,91379,6910
Idaho,female,Female,35901,897
Idaho,female,Less_than_high_school_graduate,25526,2786
Idaho,female,High_school_graduate_includes_equivalency,28255,2480
Idaho,female,Some_college_or_associates_degree,31820,834
Idaho,female,Bachelors_degree,44182,2116
Idaho,female,Graduate_or_professional_degree,61281,2236
Illinois,total,Total,51922,298
Illinois,total,Less_than_high_school_graduate,31826,508
Illinois,total,High_school_graduate_includes_equivalency,38766,778
Illinois,total,Some_college_or_associates_degree,44169,589
Illinois,total,Bachelors_degree,68489,1145
Illinois,total,Graduate_or_professional_degree,84140,1200
Illinois,male,Male,60342,469
Illinois,male,Less_than_high_school_graduate,36859,981
Illinois,male,High_school_graduate_includes_equivalency,45259,832
Illinois,male,Some_college_or_associates_degree,54038,869
Illinois,male,Bachelors_degree,81797,1026
Illinois,male,Graduate_or_professional_degree,101807,1225
Illinois,female,Female,43895,574
Illinois,female,Less_than_high_school_graduate,24634,1130
Illinois,female,High_school_graduate_includes_equivalency,30700,546
Illinois,female,Some_college_or_associates_degree,36945,494
Illinois,female,Bachelors_degree,58123,1356
Illinois,female,Graduate_or_professional_degree,74097,1067
Indiana,total,Total,46623,410
Indiana,total,Less_than_high_school_graduate,32019,746
Indiana,total,High_school_graduate_includes_equivalency,38553,630
Indiana,total,Some_college_or_associates_degree,44403,656
Indiana,total,Bachelors_degree,58609,1231
Indiana,total,Graduate_or_professional_degree,73559,2217
Indiana,male,Male,55045,602
Indiana,male,Less_than_high_school_graduate,36684,1547
Indiana,male,High_school_graduate_includes_equivalency,45412,1068
Indiana,male,Some_college_or_associates_degree,56010,1022
Indiana,male,Bachelors_degree,72252,1474
Indiana,male,Graduate_or_professional_degree,87503,3790
Indiana,female,Female,39409,544
Indiana,female,Less_than_high_school_graduate,25186,2015
Indiana,female,High_school_graduate_includes_equivalency,30327,513
Indiana,female,Some_college_or_associates_degree,36283,597
Indiana,female,Bachelors_degree,49725,1090
Indiana,female,Graduate_or_professional_degree,64824,2261
Iowa,total,Total,48569,620
Iowa,total,Less_than_high_school_graduate,32968,2066
Iowa,total,High_school_graduate_includes_equivalency,39439,863
Iowa,total,Some_college_or_associates_degree,45837,899
Iowa,total,Bachelors_degree,58561,1365
Iowa,total,Graduate_or_professional_degree,73926,1640
Iowa,male,Male,54659,553
Iowa,male,Less_than_high_school_graduate,39736,3192
Iowa,male,High_school_graduate_includes_equivalency,46204,770
Iowa,male,Some_college_or_associates_degree,55043,1081
Iowa,male,Bachelors_degree,70800,2172
Iowa,male,Graduate_or_professional_degree,85132,5330
Iowa,female,Female,41081,536
Iowa,female,Less_than_high_school_graduate,27090,2003
Iowa,female,High_school_graduate_includes_equivalency,28860,1606
Iowa,female,Some_college_or_associates_degree,37609,1138
Iowa,female,Bachelors_degree,50826,1068
Iowa,female,Graduate_or_professional_degree,67618,1807
Kansas,total,Total,47295,608
Kansas,total,Less_than_high_school_graduate,32838,1788
Kansas,total,High_school_graduate_includes_equivalency,36659,834
Kansas,total,Some_college_or_associates_degree,42026,612
Kansas,total,Bachelors_degree,58583,1296
Kansas,total,Graduate_or_professional_degree,70216,2564
Kansas,male,Male,54766,880
Kansas,male,Less_than_high_school_graduate,39766,2713
Kansas,male,High_school_graduate_includes_equivalency,43736,1130
Kansas,male,Some_college_or_associates_degree,52063,1099
Kansas,male,Bachelors_degree,71346,2248
Kansas,male,Graduate_or_professional_degree,85863,3073
Kansas,female,Female,40087,583
Kansas,female,Less_than_high_school_graduate,25570,2049
Kansas,female,High_school_graduate_includes_equivalency,28895,1712
Kansas,female,Some_college_or_associates_degree,34874,1221
Kansas,female,Bachelors_degree,49010,1669
Kansas,female,Graduate_or_professional_degree,61952,1591
Kentucky,total,Total,43032,581
Kentucky,total,Less_than_high_school_graduate,27314,1182
Kentucky,total,High_school_graduate_includes_equivalency,35301,680
Kentucky,total,Some_college_or_associates_degree,40667,587
Kentucky,total,Bachelors_degree,55682,1551
Kentucky,total,Graduate_or_professional_degree,67351,2115
Kentucky,male,Male,51094,593
Kentucky,male,Less_than_high_school_graduate,31553,1522
Kentucky,male,High_school_graduate_includes_equivalency,41636,646
Kentucky,male,Some_college_or_associates_degree,49791,1558
Kentucky,male,Bachelors_degree,68927,2881
Kentucky,male,Graduate_or_professional_degree,82917,3128
Kentucky,female,Female,37550,626
Kentucky,female,Less_than_high_school_graduate,22480,1938
Kentucky,female,High_school_graduate_includes_equivalency,27044,880
Kentucky,female,Some_college_or_associates_degree,34083,1070
Kentucky,female,Bachelors_degree,47218,2028
Kentucky,female,Graduate_or_professional_degree,59426,1694
Louisiana,total,Total,43207,748
