state,sex,education,estimate,margin_of_error
New_Mexico,female,High_school_graduate_includes_equivalency,27001,1732
New_Mexico,female,Some_college_or_associates_degree,33991,1747
New_Mexico,female,Bachelors_degree,50484,2096
New_Mexico,female,Graduate_or_professional_degree,64484,2352
New_York,total,Total,53631,311
New_York,total,Less_than_high_school_graduate,29259,783
New_York,total,High_school_graduate_includes_equivalency,37377,416
New_York,total,Some_college_or_associates_degree,46298,626
New_York,total,Bachelors_degree,71567,807
New_York,total,Graduate_or_professional_degree,87776,1143
New_York,male,Male,60517,460
New_York,male,Less_than_high_school_graduate,33425,1248
New_York,male,High_school_graduate_includes_equivalency,43834,794
New_York,male,Some_college_or_associates_degree,53992,663
New_York,male,Bachelors_degree,81761,905
New_York,male,Graduate_or_professional_degree,102467,1226
New_York,female,Female,48217,528
New_York,female,Less_than_high_school_graduate,22272,460
New_York,female,High_school_graduate_includes_equivalency,30828,389
New_York,female,Some_college_or_associates_degree,39669,777
New_York,female,Bachelors_degree,62336,731
New_York,female,Graduate_or_professional_degree,80242,940
North_Carolina,total,Total,46075,437
North_Carolina,total,Less_than_high_school_graduate,30324,538
North_Carolina,total,High_school_graduate_includes_equivalency,35269,606
North_Carolina,total,Some_college_or_associates_degree,41354,353
North_Carolina,total,Bachelors_degree,59713,990
North_Carolina,total,Graduate_or_professional_degree,76062,1365
North_Carolina,male,Male,52127,459
North_Carolina,male,Less_than_high_school_graduate,33232,1545
North_Carolina,male,High_school_graduate_includes_equivalency,40812,536
North_Carolina,male,Some_college_or_associates_degree,48809,1107
North_Carolina,male,Bachelors_degree,72567,1862
North_Carolina,male,Graduate_or_professional_degree,98379,4135
North_Carolina,female,Female,40611,342
North_Carolina,female,Less_than_high_school_graduate,22752,1630
North_Carolina,female,High_school_graduate_includes_equivalency,29399,1139
North_Carolina,female,Some_college_or_associates_degree,35405,421
North_Carolina,female,Bachelors_degree,51352,717
North_Carolina,female,Graduate_or_professional_degree,64377,1203
North_Dakota,total,Total,50304,904
North_Dakota,total,Less_than_high_school_graduate,41762,2849
North_Dakota,total,High_school_graduate_includes_equivalency,39250,1816
North_Dakota,total,Some_college_or_associates_degree,47258,1504
North_Dakota,total,Bachelors_degree,56830,2007
North_Dakota,total,Graduate_or_professional_degree,71211,4930
North_Dakota,male,Male,57981,2122
North_Dakota,male,Less_than_high_school_graduate,47293,4355
North_Dakota,male,High_school_graduate_includes_equivalency,46458,2294
North_Dakota,male,Some_college_or_associates_degree,58698,3201
North_Dakota,male,Bachelors_degree,69941,4451
North_Dakota,male,Graduate_or_professional_degree,83071,7455
North_Dakota,female,Female,41585,903
North_Dakota,female,Less_than_high_school_graduate,25384,2869
North_Dakota,female,High_school_graduate_includes_equivalency,31425,1066
North_Dakota,female,Some_college_or_associates_degree,38419,2607
North_Dakota,female,Bachelors_degree,50888,1832
North_Dakota,female,Graduate_or_professional_degree,62432,4357
Ohio,total,Total,47521,357
Ohio,total,Less_than_high_school_graduate,30152,910
Ohio,total,High_school_graduate_includes_equivalency,36919,427
Ohio,total,Some_college_or_associates_degree,42690,433
Ohio,total,Bachelors_degree,62605,681
Ohio,total,Graduate_or_professional_degree,77691,1125
Ohio,male,Male,54436,382
Ohio,male,Less_than_high_school_graduate,34751,1787
Ohio,male,High_school_graduate_includes_equivalency,43823,727
Ohio,male,Some_college_or_associates_degree,52191,518
Ohio,male,Bachelors_degree,75136,1290
Ohio,male,Graduate_or_professional_degree,94557,1937
Ohio,female,Female,40334,243
Ohio,female,Less_than_high_school_graduate,21565,1080
Ohio,female,High_school_graduate_includes_equivalency,29197,718
Ohio,female,Some_college_or_associates_degree,35817,484
Ohio,female,Bachelors_degree,53252,828
Ohio,female,Graduate_or_professional_degree,69993,1023
Oklahoma,total,Total,42362,311
Oklahoma,total,Less_than_high_school_graduate,30354,983
Oklahoma,total,High_school_graduate_includes_equivalency,35332,406
Oklahoma,total,Some_college_or_associates_degree,40237,525
Oklahoma,total,Bachelors_degree,53732,1026
Oklahoma,total,Graduate_or_professional_degree,70191,1657
Oklahoma,male,Male,50265,506
Oklahoma,male,Less_than_high_school_graduate,35928,1021
Oklahoma,male,High_school_graduate_includes_equivalency,41067,648
Oklahoma,male,Some_college_or_associates_degree,49087,1316
Oklahoma,male,Bachelors_degree,66236,2327
Oklahoma,male,Graduate_or_professional_degree,84717,3359
Oklahoma,female,Female,36569,443
Oklahoma,female,Less_than_high_school_graduate,21593,1194
Oklahoma,female,High_school_graduate_includes_equivalency,27647,957
Oklahoma,female,Some_college_or_associates_degree,32874,876
Oklahoma,female,Bachelors_degree,46553,1153
Oklahoma,female,Graduate_or_professional_degree,60369,1473
Oregon,total,Total,48807,906
Oregon,total,Less_than_high_school_graduate,30994,1258
Oregon,total,High_school_graduate_includes_equivalency,37284,835
Oregon,total,Some_college_or_associates_degree,42769,887
Oregon,total,Bachelors_degree,62676,1256
Oregon,total,Graduate_or_professional_degree,81633,1759
Oregon,male,Male,54766,911
Oregon,male,Less_than_high_school_graduate,36201,1641
Oregon,male,High_school_graduate_includes_equivalency,42047,728
Oregon,male,Some_college_or_associates_degree,51886,1204
Oregon,male,Bachelors_degree,74464,2301
Oregon,male,Graduate_or_professional_degree,94249,3774
Oregon,female,Female,41808,585
Oregon,female,Less_than_high_school_graduate,25018,1301
Oregon,female,High_school_graduate_includes_equivalency,30963,979
Oregon,female,Some_college_or_associates_degree,36552,868
Oregon,female,Bachelors_degree,53656,1616
Oregon,female,Graduate_or_professional_degree,73646,1890
Pennsylvania,total,Total,50871,266
Pennsylvania,total,Less_than_high_school_graduate,32177,897
Pennsylvania,total,High_school_graduate_includes_equivalency,38087,545
Pennsylvania,total,Some_college_or_associates_degree,44804,671
Pennsylvania,total,Bachelors_degree,64722,790
Pennsylvania,total,Graduate_or_professional_degree,80977,1013
Pennsylvania,male,Male,57729,740
Pennsylvania,male,Less_than_high_school_graduate,39267,1690
Pennsylvania,male,High_school_graduate_includes_equivalency,45060,610
Pennsylvania,male,Some_college_or_associates_degree,53436,803
Pennsylvania,male,Bachelors_degree,77353,1635
Pennsylvania,male,Graduate_or_professional_degree,98386,3338
Pennsylvania,female,Female,42397,326
Pennsylvania,female,Less_than_high_school_graduate,23562,2084
Pennsylvania,female,High_school_graduate_includes_equivalency,30480,374
Pennsylvania,female,Some_college_or_associates_degree,37537,641
Pennsylvania,female,Bachelors_degree,54430,804
Pennsylvania,female,Graduate_or_professional_degree,71618,970
Rhode_Island,total,Total,54012,1173
Rhode_Island,total,Less_than_high_school_graduate,35287,2762
Rhode_Island,total,High_school_graduate_includes_equivalency,41160,1296
Rhode_Island,total,Some_college_or_associates_degree,48802,2513
Rhode_Island,total,Bachelors_degree,67148,2815
Rhode_Island,total,Graduate_or_professional_degree,85586,4353
Rhode_Island,male,Male,61128,1876
Rhode_Island,male,Less_than_high_school_graduate,42946,7612
Rhode_Island,male,High_school_graduate_includes_equivalency,48077,3418
Rhode_Island,male,Some_college_or_associates_degree,55854,2583
Rhode_Island,male,Bachelors_degree,80898,4431
Rhode_Island,male,Graduate_or_professional_degree,100702,7878
Rhode_Island,female,Female,47240,2122
Rhode_Island,female,Less_than_high_school_graduate,22467,3518
Rhode_Island,female,High_school_graduate_includes_equivalency,32801,2400
Rhode_Island,female,Some_college_or_associates_degree,41502,2362
Rhode_Island,female,Bachelors_degree,60614,2721
Rhode_Island,female,Graduate_or_professional_degree,76489,5175
South_Carolina,total,Total,43331,592
South_Carolina,total,Less_than_high_school_graduate,27141,1330
South_Carolina,total,High_school_graduate_includes_equivalency,34785,966
South_Carolina,total,Some_college_or_associates_degree,40386,665
South_Carolina,total,Bachelors_degree,57407,1493
South_Carolina,total,Graduate_or_professional_degree,67170,1980
South_Carolina,male,Male,51631,618
South_Carolina,male,Less_than_high_school_graduate,31919,967
South_Carolina,male,High_school_graduate_includes_equivalency,41372,906
South_Carolina,male,Some_college_or_associates_degree,50113,1049
South_Carolina,male,Bachelors_degree,70820,2290
South_Carolina,male,Graduate_or_professional_degree,93583,4170
South_Carolina,female,Female,37006,556
South_Carolina,female,Less_than_high_school_graduate,19045,2025
South_Carolina,female,High_school_graduate_includes_equivalency,27278,714
South_Carolina,female,Some_college_or_associates_degree,33394,1149
South_Carolina,female,Bachelors_degree,47076,1437
South_Carolina,female,Graduate_or_professional_degree,55888,1964
South_Dakota,total,Total,45902,667
South_Dakota,total,Less_than_high_school_graduate,30523,2259
South_Dakota,total,High_school_graduate_includes_equivalency,38669,1771
South_Dakota,total,Some_college_or_associates_degree,45237,1326
South_Dakota,total,Bachelors_degree,52325,1924
South_Dakota,total,Graduate_or_professional_degree,67981,3888
South_Dakota,male,Male,51980,850
South_Dakota,male,Less_than_high_school_graduate,32728,4816
South_Dakota,male,High_school_graduate_includes_equivalency,42193,1174
South_Dakota,male,Some_college_or_associates_degree,52366,1456
South_Dakota,male,Bachelors_degree,62017,1755
South_Dakota,male,Graduate_or_professional_degree,78289,7666
South_Dakota,female,Female,40443,637
South_Dakota,female,Less_than_high_school_graduate,22462,7834
South_Dakota,female,High_school_graduate_includes_equivalency,31409,1540
South_Dakota,female,Some_college_or_associates_degree,36809,1045
South_Dakota,female,Bachelors_degree,47123,1860
South_Dakota,female,Graduate_or_professional_degree,62107,3281
Tennessee,total,Total,45072,401
Tennessee,total,Less_than_high_school_graduate,30183,1146
Tennessee,total,High_school_graduate_includes_equivalency,36093,577
Tennessee,total,Some_college_or_associates_degree,41663,479
Tennessee,total,Bachelors_degree,57539,1113
Tennessee,total,Graduate_or_professional_degree,72837,1803
Tennessee,male,Male,52035,478
Tennessee,male,Less_than_high_school_graduate,32391,1321
Tennessee,male,High_school_graduate_includes_equivalency,41768,621
Tennessee,male,Some_college_or_associates_degree,50507,900
Tennessee,male,Bachelors_degree,72069,2026
Tennessee,male,Graduate_or_professional_degree,90027,4534
Tennessee,female,Female,39185,688
Tennessee,female,Less_than_high_school_graduate,24280,2206
Tennessee,female,High_school_graduate_includes_equivalency,29504,951
Tennessee,female,Some_college_or_associates_degree,35423,697
Tennessee,female,Bachelors_degree,47882,1055
Tennessee,female,Graduate_or_professional_degree,62159,1314
Texas,total,Total,48430,370
Texas,total,Less_than_high_school_graduate,29317,601
Texas,total,High_school_graduate_includes_equivalency,36217,369
Texas,total,Some_college_or_associates_degree,43687,586
Texas,total,Bachelors_degree,64905,584
Texas,total,Graduate_or_professional_degree,82824,1260
Texas,male,Male,55057,447
Texas,male,Less_than_high_school_graduate,33918,929
Texas,male,High_school_graduate_includes_equivalency,43439,696
Texas,male,Some_college_or_associates_degree,53009,690
Texas,male,Bachelors_degree,80807,892
Texas,male,Graduate_or_professional_degree,104215,1382
Texas,female,Female,40346,244
Texas,female,Less_than_high_school_graduate,21027,335
Texas,female,High_school_graduate_includes_equivalency,27724,573
Texas,female,Some_college_or_associates_degree,36414,525
Texas,female,Bachelors_degree,56594,584
Texas,female,Graduate_or_professional_degree,69050,1161
Utah,total,Total,51104,514
Utah,total,Less_than_high_school_graduate,37472,1649
Utah,total,High_school_graduate_includes_equivalency,40700,642
Utah,total,Some_college_or_associates_degree,43406,1496
Utah,total,Bachelors_degree,60973,1200
Utah,total,Graduate_or_professional_degree,90548,2583
Utah,male,Male,63245,870
Utah,male,Less_than_high_school_graduate,44160,2998
Utah,male,High_school_graduate_includes_equivalency,48961,2480
Utah,male,Some_college_or_associates_degree,56715,1928
Utah,male,Bachelors_degree,78700,2646
Utah,male,Graduate_or_professional_degree,111257,4668
Utah,female,Female,38217,892
Utah,female,Less_than_high_school_graduate,28237,2073
Utah,female,High_school_graduate_includes_equivalency,31762,785
Utah,female,Some_college_or_associates_degree,34715,1817
Utah,female,Bachelors_degree,46836,1811
Utah,female,Graduate_or_professional_degree,65531,2713
Vermont,total,Total,50561,972
Vermont,total,Less_than_high_school_graduate,34612,3841
Vermont,total,High_school_graduate_includes_equivalency,41388,1466
Vermont,total,Some_college_or_associates_degree,44003,3213
Vermont,total,Bachelors_degree,54163,2295
Vermont,total,Graduate_or_professional_degree,68409,2487
Vermont,male,Male,53541,1340
Vermont,male,Less_than_high_school_graduate,38084,3515
Vermont,male,High_school_graduate_includes_equivalency,46350,1883
Vermont,male,Some_college_or_associates_degree,53267,3179
Vermont,male,Bachelors_degree,55105,5011
Vermont,male,Graduate_or_professional_degree,81508,5281
Vermont,female,Female,46082,1512
Vermont,female,Less_than_high_school_graduate,29123,3797
Vermont,female,High_school_graduate_includes_equivalency,33734,2245
Vermont,female,Some_college_or_associates_degree,38509,2051
Vermont,female,Bachelors_degree,53601,2353
Vermont,female,Graduate_or_professional_degree,62549,2607
Virginia,total,Total,55607,529
Virginia,total,Less_than_high_school_graduate,30436,890
Virginia,total,High_school_graduate_includes_equivalency,39730,835
Virginia,total,Some_college_or_associates_degree,45135,748
Virginia,total,Bachelors_degree,73893,1062
Virginia,total,Graduate_or_professional_degree,96914,1436
Virginia,male,Male,64525,711
Virginia,male,Less_than_high_school_graduate,36498,1255
Virginia,male,High_school_graduate_includes_equivalency,46450,1338
Virginia,male,Some_college_or_associates_degree,54515,1048
Virginia,male,Bachelors_degree,88211,2101
Virginia,male,Graduate_or_professional_degree,120363,2849
Virginia,female,Female,47280,623
Virginia,female,Less_than_high_school_graduate,21407,926
Virginia,female,High_school_graduate_includes_equivalency,30867,480
Virginia,female,Some_college_or_associates_degree,38271,1185
Virginia,female,Bachelors_degree,60677,1243
Virginia,female,Graduate_or_professional_degree,79392,2056
Washington,total,Total,59430,775
Washington,total,Less_than_high_school_graduate,36000,984
Washington,total,High_school_graduate_includes_equivalency,42288,749
Washington,total,Some_college_or_associates_degree,51740,658
Washington,total,Bachelors_degree,76376,1126
Washington,total,Graduate_or_professional_degree,100613,1148
Washington,male,Male,68109,1072
Washington,male,Less_than_high_school_graduate,40821,1085
Washington,male,High_school_graduate_includes_equivalency,50374,738
Washington,male,Some_college_or_associates_degree,61596,853
Washington,male,Bachelors_degree,93135,2212
Washington,male,Graduate_or_professional_degree,123731,3155
Washington,female,Female,49352,1021
Washington,female,Less_than_high_school_graduate,27512,1856
Washington,female,High_school_graduate_includes_equivalency,35322,949
Washington,female,Some_college_or_associates_degree,42451,924
Washington,female,Bachelors_degree,61852,975
Washington,female,Graduate_or_professional_degree,83186,1782
West_Virginia,total,Total,42738,814
West_Virginia,total,Less_than_high_school_graduate,26692,2487
West_Virginia,total,High_school_graduate_includes_equivalency,35052,1392
West_Virginia,total,Some_college_or_associates_degree,40791,1001
West_Virginia,total,Bachelors_degree,52887,1886
West_Virginia,total,Graduate_or_professional_degree,63974,3717
West_Virginia,male,Male,50775,1074
West_Virginia,male,Less_than_high_school_graduate,31728,3365
West_Virginia,male,High_school_graduate_includes_equivalency,42328,1936
West_Virginia,male,Some_college_or_associates_degree,51797,2084
West_Virginia,male,Bachelors_degree,61978,3623
West_Virginia,male,Graduate_or_professional_degree,81142,6253
West_Virginia,female,Female,36638,923
West_Virginia,female,Less_than_high_school_graduate,22346,2415
West_Virginia,female,High_school_graduate_includes_equivalency,26556,1169
West_Virginia,female,Some_college_or_associates_degree,33565,1669
West_Virginia,female,Bachelors_degree,46408,2131
West_Virginia,female,Graduate_or_professional_degree,56531,3996
Wisconsin,total,Total,50039,335
Wisconsin,total,Less_than_high_school_graduate,35193,1456
Wisconsin,total,High_school_graduate_includes_equivalency,40104,484
Wisconsin,total,Some_college_or_associates_degree,45726,600
Wisconsin,total,Bachelors_degree,61428,837
Wisconsin,total,Graduate_or_professional_degree,75811,1232
Wisconsin,male,Male,56462,617
Wisconsin,male,Less_than_high_school_graduate,39939,1783
Wisconsin,male,High_school_graduate_includes_equivalency,46832,674
Wisconsin,male,Some_college_or_associates_degree,54296,758
Wisconsin,male,Bachelors_degree,74145,1645
Wisconsin,male,Graduate_or_professional_degree,93791,2873
Wisconsin,female,Female,41920,294
Wisconsin,female,Less_than_high_school_graduate,27810,2199
Wisconsin,female,High_school_graduate_includes_equivalency,31059,429
Wisconsin,female,Some_college_or_associates_degree,37815,771
Wisconsin,female,Bachelors_degree,52799,869
Wisconsin,female,Graduate_or_professional_degree,66703,1770
Wyoming,total,Total,48197,2185
Wyoming,total,Less_than_high_school_graduate,28406,4964
Wyoming,total,High_school_graduate_includes_equivalency,37396,1855
Wyoming,total,Some_college_or_associates_degree,44020,3108
Wyoming,total,Bachelors_degree,54129,3784
Wyoming,total,Graduate_or_professional_degree,68506,1926
Wyoming,male,Male,56879,2488
Wyoming,male,Less_than_high_school_graduate,35274,12078
Wyoming,male,High_school_graduate_includes_equivalency,47300,6041
Wyoming,male,Some_college_or_associates_degree,55153,3391
Wyoming,male,Bachelors_degree,68407,6090
Wyoming,male,Graduate_or_professional_degree,80346,10578
Wyoming,female,Female,38561,2080
Wyoming,female,Less_than_high_school_graduate,25910,3619
Wyoming,female,High_school_graduate_includes_equivalency,27551,3030
Wyoming,female,Some_college_or_associates_degree,36010,1999
Wyoming,female,Bachelors_degree,47106,3590
Wyoming,female,Graduate_or_professional_degree,61778,3338
Puerto_Rico,total,Total,21254,372
Puerto_Rico,total,Less_than_high_school_graduate,12646,971
Puerto_Rico,total,High_school_graduate_includes_equivalency,16083,319
Puerto_Rico,total,Some_college_or_associates_degree,19642,457
Puerto_Rico,total,Bachelors_degree,27445,925
Puerto_Rico,total,Graduate_or_professional_degree,40103,1592
Puerto_Rico,male,Male,21394,442
Puerto_Rico,male,Less_than_high_school_graduate,13178,1192
Puerto_Rico,male,High_school_graduate_includes_equivalency,17022,409
Puerto_Rico,male,Some_college_or_associates_degree,22270,832
Puerto_Rico,male,Bachelors_degree,30686,1752
Puerto_Rico,male,Graduate_or_professional_degree,50423,4488
Puerto_Rico,female,Female,21085,502
Puerto_Rico,female,Less_than_high_school_graduate,10864,2075
Puerto_Rico,female,High_school_graduate_includes_equivalency,13232,836
Puerto_Rico,female,Some_college_or_associates_degree,17092,523
Puerto_Rico,female,Bachelors_degree,26274,752
Puerto_Rico,female,Graduate_or_professional_degree,35885,1636
