state,education,degree,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39,age_range,sex
Alaska,Bachelors_degree,Liberal_Arts_and_History,63558,20098,AK,18.16666667,5589.8,28.5,7364,5589.8,22359.2,242.6560754,29118.72905,22,-1300278.729,34439.27095,1114925.271,25_to_39_years,
Alaska,Bachelors_degree,Literature_and_Languages,59733,14625,AK,18.16666667,5589.8,28.5,7364,5589.8,22359.2,242.6560754,29118.72905,22,-1223778.729,30614.27095,1046075.271,25_to_39_years,
Alaska,Bachelors_degree,Multidisciplinary_Studies,71236,36262,AK,18.16666667,5589.8,28.5,7364,5589.8,22359.2,242.6560754,29118.72905,22,-1453838.729,42117.27095,1253129.271,25_to_39_years,
Alaska,Bachelors_degree,Other,62025,14819,AK,18.16666667,5589.8,28.5,7364,5589.8,22359.2,242.6560754,29118.72905,22,-1269618.729,32906.27095,1087331.271,25_to_39_years,
Alaska,Bachelors_degree,Physical_and_Related_Sciences,67957,15293,AK,18.16666667,5589.8,28.5,7364,5589.8,22359.2,242.6560754,29118.72905,22,-1388258.729,38838.27095,1194107.271,25_to_39_years,
Alaska,Bachelors_degree,Psychology,70578,7386,AK,18.16666667,5589.8,28.5,7364,5589.8,22359.2,242.6560754,29118.72905,22,-1440678.729,41459.27095,1241285.271,25_to_39_years,
Alaska,Bachelors_degree,Science_and_Engineering_Related_Fields,62289,13284,AK,18.16666667,5589.8,28.5,7364,5589.8,22359.2,242.6560754,29118.72905,22,-1274898.729,33170.27095,1092083.271,25_to_39_years,
Alaska,Bachelors_degree,Social_Sciences,64250,36444,AK,18.16666667,5589.8,28.5,7364,5589.8,22359.2,242.6560754,29118.72905,22,-1314118.729,35131.27095,1127381.271,25_to_39_years,
Alaska,Bachelors_degree,Visual_and_Performing_Arts,38038,15687,AK,18.16666667,5589.8,28.5,7364,5589.8,22359.2,242.6560754,29118.72905,22,-789878.7291,8919.27095,655565.2709,25_to_39_years,
Arizona,Less_than_high_school_graduate,,31966,538,AZ,61.125,8297.761905,32.75757576,5916.451613,0,0,0,0,16,-447524,31966,767184,,total
Arizona,High_school_graduate_includes_equivalency,,38547,909,AZ,61.125,8297.761905,32.75757576,5916.451613,0,0,0,0,18,-616752,38547,848034,,total
Arizona,Some_college_or_associates_degree,,45115,797,AZ,61.125,8297.761905,32.75757576,5916.451613,5916.451613,11832.90323,128.4180945,15410.17133,20,-827480.1713,29704.82867,886889.8287,,total
Arizona,Bachelors_degree,Combined_25_to_39_years,60743,802,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1258085.21,17517.78968,1050148.79,25_to_39_years,
Arizona,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,54925,5378,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1141725.21,11699.78968,945424.7897,25_to_39_years,
Arizona,Bachelors_degree,Business,66060,1771,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1364425.21,22834.78968,1145854.79,25_to_39_years,
Arizona,Bachelors_degree,Communications,55536,7543,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1153945.21,12310.78968,956422.7897,25_to_39_years,
Arizona,Bachelors_degree,Computers_Mathematics_and_Statistics,82391,6307,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1691045.21,39165.78968,1439812.79,25_to_39_years,
Arizona,Bachelors_degree,Education,51036,1451,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1063945.21,7810.789684,875422.7897,25_to_39_years,
