,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans,total_fed_student_loans,monthly_payment,total_paid,total_cost_of_fed_loan,age_starting_work,y_intercept,high_grad_age_intercept
24,Alaska,male,Male,61327,1961,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,0.0,,,0.0
25,Alaska,male,Less_than_high_school_graduate,44078,6545,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,0.0,16.0,-617092.0,0.0
26,Alaska,male,High_school_graduate_includes_equivalency,44861,3200,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,0.0,18.0,-717776.0,
27,Alaska,male,Some_college_or_associates_degree,59395,2949,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,7364.0,14728.0,159.83750218019472,19180.500261623365,19180.500261623365,20.0,-1088290.5002616234,0.0
28,Alaska,male,Bachelors_degree,79622,5147,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,5589.8,22359.2,242.6560754173961,29118.72905008753,29118.72905008753,22.0,-1621558.7290500875,0.0
29,Alaska,male,Graduate_or_professional_degree,97504,8392,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,0.0,26.0,-2340096.0,0.0
30,Alaska,female,Female,47601,1771,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,0.0,,,0.0
31,Alaska,female,Less_than_high_school_graduate,32000,5293,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,0.0,16.0,-448000.0,0.0
32,Alaska,female,High_school_graduate_includes_equivalency,32330,2775,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,0.0,18.0,-517280.0,
33,Alaska,female,Some_college_or_associates_degree,44106,3655,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,7364.0,14728.0,159.83750218019472,19180.500261623365,19180.500261623365,20.0,-813088.5002616234,0.0
34,Alaska,female,Bachelors_degree,56933,7067,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,5589.8,22359.2,242.6560754173961,29118.72905008753,29118.72905008753,22.0,-1167778.7290500875,0.0
35,Alaska,female,Graduate_or_professional_degree,85703,2861,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,0.0,26.0,-2056872.0,0.0
36,Arizona,total,Total,48738,558,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,,,0.0
37,Arizona,total,Less_than_high_school_graduate,31966,538,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,16.0,-447524.0,0.0
38,Arizona,total,High_school_graduate_includes_equivalency,38547,909,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,18.0,-616752.0,
39,Arizona,total,Some_college_or_associates_degree,45115,797,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,5916.451612903225,11832.90322580645,128.41809445633294,15410.171334759953,15410.171334759953,20.0,-827480.1713347599,0.0
40,Arizona,total,Bachelors_degree,63471,839,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,43225.21031645141,22.0,-1312645.2103164515,0.0
41,Arizona,total,Graduate_or_professional_degree,76587,1626,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,26.0,-1838088.0,0.0
42,Arizona,male,Male,53647,651,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,,,0.0
43,Arizona,male,Less_than_high_school_graduate,36974,1325,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,16.0,-517636.0,0.0
44,Arizona,male,High_school_graduate_includes_equivalency,42457,871,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,18.0,-679312.0,
