State,Education,Major,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS
Arizona,High_school_graduate_includes_equivalency,,18,38547,38547,25.71463303,
Arizona,Some_college_or_associates_degree,,20,45115,29704.82867,28.89620285,32.08406994
Arizona,Bachelors_degree,Combined_25_to_39_years,22,60743,17517.78968,28.16698093,28.89408949
Arizona,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,54925,11699.78968,30.23656128,32.05356028
Arizona,Bachelors_degree,Business,22,66060,22834.78968,26.89333051,27.17527025
Arizona,Bachelors_degree,Communications,22,55536,12310.78968,29.97120112,31.62006065
Arizona,Bachelors_degree,Computers_Mathematics_and_Statistics,22,82391,39165.78968,24.66080734,24.50262773
Arizona,Bachelors_degree,Education,22,51036,7810.789684,32.32413269,35.80696696
Arizona,Bachelors_degree,Engineering,22,86615,43389.78968,24.3005583,24.10695703
Arizona,Bachelors_degree,Liberal_Arts_and_History,22,56760,13534.78968,29.478955,30.83913745
Arizona,Bachelors_degree,Literature_and_Languages,22,52459,9233.789684,31.46836531,34.19013875
Arizona,Bachelors_degree,Multidisciplinary_Studies,22,54175,10949.78968,30.5822509,32.63202011
Arizona,Bachelors_degree,Other,22,56087,12861.78968,29.74342732,31.25502909
Arizona,Bachelors_degree,Physical_and_Related_Sciences,22,62316,19090.78968,27.74369721,28.30549078
Arizona,Bachelors_degree,Psychology,22,53281,10055.78968,31.02609478,33.39848041
Arizona,Bachelors_degree,Science_and_Engineering_Related_Fields,22,62915,19689.78968,27.59382243,28.10133004
Arizona,Bachelors_degree,Social_Sciences,22,59144,15918.78968,28.64747996,29.58456136
Arizona,Bachelors_degree,Visual_and_Performing_Arts,22,47658,4432.789684,34.9771355,41.66756781
Arizona,Less_than_high_school_graduate,,39,31966,767184,,
Arizona,High_school_graduate_includes_equivalency,,39,38547,848034,,
Arizona,Some_college_or_associates_degree,,39,45115,886889.8287,,
Arizona,Bachelors_degree,Combined_25_to_39_years,39,60743,1050148.79,,
Arizona,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,54925,945424.7897,,
Arizona,Bachelors_degree,Business,39,66060,1145854.79,,
Arizona,Bachelors_degree,Communications,39,55536,956422.7897,,
Arizona,Bachelors_degree,Computers_Mathematics_and_Statistics,39,82391,1439812.79,,
Arizona,Bachelors_degree,Education,39,51036,875422.7897,,
Arizona,Bachelors_degree,Engineering,39,86615,1515844.79,,
Arizona,Bachelors_degree,Liberal_Arts_and_History,39,56760,978454.7897,,
Arizona,Bachelors_degree,Literature_and_Languages,39,52459,901036.7897,,
Arizona,Bachelors_degree,Multidisciplinary_Studies,39,54175,931924.7897,,
Arizona,Bachelors_degree,Other,39,56087,966340.7897,,
Arizona,Bachelors_degree,Physical_and_Related_Sciences,39,62316,1078462.79,,
Arizona,Bachelors_degree,Psychology,39,53281,915832.7897,,
Arizona,Bachelors_degree,Science_and_Engineering_Related_Fields,39,62915,1089244.79,,
Arizona,Bachelors_degree,Social_Sciences,39,59144,1021366.79,,
Arizona,Bachelors_degree,Visual_and_Performing_Arts,39,47658,814618.7897,,
Arkansas,Less_than_high_school_graduate,,16,30770,30770,,32.42380571
Arkansas,High_school_graduate_includes_equivalency,,18,34517,34517,32.42380571,
Arkansas,Some_college_or_associates_degree,,20,38814,27006.16732,34.76875096,36.81355194
Arkansas,Bachelors_degree,Combined_25_to_39_years,22,52604,19144.26324,29.98807991,29.48348188
Arkansas,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,57000,23540.26324,28.31413407,27.62921927
Arkansas,Bachelors_degree,Business,22,59681,26221.26324,27.54314056,26.81639393
Arkansas,Bachelors_degree,Communications,22,45923,12463.26324,34.39185222,35.03837776
Arkansas,Bachelors_degree,Computers_Mathematics_and_Statistics,22,93027,59567.26324,23.50289504,22.93159694
Arkansas,Bachelors_degree,Education,22,46818,13358.26324,33.5892159,33.94421078
Arkansas,Bachelors_degree,Engineering,22,72789,39329.26324,25.19002682,24.4818075
Arkansas,Bachelors_degree,Liberal_Arts_and_History,22,42657,9197.263242,38.34607022,41.07220353
Arkansas,Bachelors_degree,Literature_and_Languages,22,50121,16661.26324,31.26968822,30.99254914
Arkansas,Bachelors_degree,Multidisciplinary_Studies,22,50461,17001.26324,31.07509709,30.75813703
Arkansas,Bachelors_degree,Other,22,45047,11587.26324,35.27489926,36.28943369
Arkansas,Bachelors_degree,Physical_and_Related_Sciences,22,61495,28035.26324,27.09779452,26.35805978
Arkansas,Bachelors_degree,Psychology,22,42749,9289.263242,38.20517044,40.83670272
Arkansas,Bachelors_degree,Science_and_Engineering_Related_Fields,22,61354,27894.26324,27.13051716,26.39146465
Arkansas,Bachelors_degree,Social_Sciences,22,49192,15732.26324,31.83800547,31.68843181
Arkansas,Bachelors_degree,Visual_and_Performing_Arts,22,43675,10215.26324,36.89885601,38.72982494
Arkansas,Less_than_high_school_graduate,,39,30770,738480,,
Arkansas,High_school_graduate_includes_equivalency,,39,34517,759374,,
Arkansas,Some_college_or_associates_degree,,39,38814,764472.1673,,
Arkansas,Bachelors_degree,Combined_25_to_39_years,39,52604,913412.2632,,
Arkansas,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,57000,992540.2632,,
Arkansas,Bachelors_degree,Business,39,59681,1040798.263,,
Arkansas,Bachelors_degree,Communications,39,45923,793154.2632,,
Arkansas,Bachelors_degree,Computers_Mathematics_and_Statistics,39,93027,1641026.263,,
Arkansas,Bachelors_degree,Education,39,46818,809264.2632,,
Arkansas,Bachelors_degree,Engineering,39,72789,1276742.263,,
Arkansas,Bachelors_degree,Liberal_Arts_and_History,39,42657,734366.2632,,
Arkansas,Bachelors_degree,Literature_and_Languages,39,50121,868718.2632,,
Arkansas,Bachelors_degree,Multidisciplinary_Studies,39,50461,874838.2632,,
Arkansas,Bachelors_degree,Other,39,45047,777386.2632,,
Arkansas,Bachelors_degree,Physical_and_Related_Sciences,39,61495,1073450.263,,
Arkansas,Bachelors_degree,Psychology,39,42749,736022.2632,,
Arkansas,Bachelors_degree,Science_and_Engineering_Related_Fields,39,61354,1070912.263,,
Arkansas,Bachelors_degree,Social_Sciences,39,49192,851996.2632,,
Arkansas,Bachelors_degree,Visual_and_Performing_Arts,39,43675,752690.2632,,
California,Less_than_high_school_graduate,,16,30843,30843,,24.04879958
California,High_school_graduate_includes_equivalency,,18,38507,38507,24.04879958,
California,Some_college_or_associates_degree,,20,47535,30017.43039,26.44054455,28.4709315
California,Bachelors_degree,Combined_25_to_39_years,22,76005,39710.52924,24.90129912,25.07553658
California,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,74495,38200.52924,25.07084374,25.28849813
California,Bachelors_degree,Business,22,78489,42194.52924,24.64577238,24.76020386
California,Bachelors_degree,Communications,22,70378,34083.52924,25.59889897,25.97165043
California,Bachelors_degree,Computers_Mathematics_and_Statistics,22,106581,70286.52924,22.92260782,22.79581736
California,Bachelors_degree,Education,22,55837,19542.52924,28.85622432,30.98225452
California,Bachelors_degree,Engineering,22,116465,80170.52924,22.58522892,22.44134625
California,Bachelors_degree,Liberal_Arts_and_History,22,63722,27427.52924,26.73233586,27.54798615
California,Bachelors_degree,Literature_and_Languages,22,63706,27411.52924,26.73561363,27.55277871
California,Bachelors_degree,Multidisciplinary_Studies,22,74142,37847.52924,25.11218436,25.34088595
California,Bachelors_degree,Other,22,60909,24614.52924,27.36221881,28.49578032
California,Bachelors_degree,Physical_and_Related_Sciences,22,80828,44533.52924,24.42837793,24.49711658
California,Bachelors_degree,Psychology,22,63246,26951.52924,26.83123386,27.69321601
California,Bachelors_degree,Science_and_Engineering_Related_Fields,22,80368,44073.52924,24.46950976,24.54653426
California,Bachelors_degree,Social_Sciences,22,75405,39110.52924,24.9672921,25.15807011
California,Bachelors_degree,Visual_and_Performing_Arts,22,58721,22426.52924,27.94004128,29.41537898
California,Less_than_high_school_graduate,,39,30843,740232,,
California,High_school_graduate_includes_equivalency,,39,38507,847154,,
California,Some_college_or_associates_degree,,39,47535,933182.4304,,
California,Bachelors_degree,Combined_25_to_39_years,39,76005,1331795.529,,
California,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,74495,1304615.529,,
California,Bachelors_degree,Business,39,78489,1376507.529,,
California,Bachelors_degree,Communications,39,70378,1230509.529,,
California,Bachelors_degree,Computers_Mathematics_and_Statistics,39,106581,1882163.529,,
California,Bachelors_degree,Education,39,55837,968771.5292,,
California,Bachelors_degree,Engineering,39,116465,2060075.529,,
California,Bachelors_degree,Liberal_Arts_and_History,39,63722,1110701.529,,
California,Bachelors_degree,Literature_and_Languages,39,63706,1110413.529,,
California,Bachelors_degree,Multidisciplinary_Studies,39,74142,1298261.529,,
California,Bachelors_degree,Other,39,60909,1060067.529,,
California,Bachelors_degree,Physical_and_Related_Sciences,39,80828,1418609.529,,
California,Bachelors_degree,Psychology,39,63246,1102133.529,,
California,Bachelors_degree,Science_and_Engineering_Related_Fields,39,80368,1410329.529,,
California,Bachelors_degree,Social_Sciences,39,75405,1320995.529,,
California,Bachelors_degree,Visual_and_Performing_Arts,39,58721,1020683.529,,
Colorado,Less_than_high_school_graduate,,16,34357,34357,,24.7112069
Colorado,High_school_graduate_includes_equivalency,,18,42245,42245,24.7112069,
Colorado,Some_college_or_associates_degree,,20,46542,29616.54368,30.66749744,41.60145597
Colorado,Bachelors_degree,Combined_25_to_39_years,22,67009,32068.04234,27.38340554,28.23457267
Colorado,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,59924,24983.04234,29.42945819,31.53464323
Colorado,Bachelors_degree,Business,22,80460,45519.04234,25.22922495,25.33614962
Colorado,Bachelors_degree,Communications,22,63735,28794.04234,28.20624133,29.48910924
Colorado,Bachelors_degree,Computers_Mathematics_and_Statistics,22,90114,55173.04234,24.32381508,24.25997948
Colorado,Bachelors_degree,Education,22,48184,13243.04234,37.43566628,54.33590801
Colorado,Bachelors_degree,Engineering,22,93554,58613.04234,24.07255364,23.97437014
Colorado,Bachelors_degree,Liberal_Arts_and_History,22,62406,27465.04234,28.59506427,30.11462515
Colorado,Bachelors_degree,Literature_and_Languages,22,51585,16644.04234,33.99367063,41.83307898
Colorado,Bachelors_degree,Multidisciplinary_Studies,22,58763,23822.04234,29.87802006,32.34537823
Colorado,Bachelors_degree,Other,22,62558,27617.04234,28.54873791,30.0389385
Colorado,Bachelors_degree,Physical_and_Related_Sciences,22,67253,32312.04234,27.32864049,28.15422895
Colorado,Bachelors_degree,Psychology,22,54295,19354.04234,32.09163194,36.92290105
Colorado,Bachelors_degree,Science_and_Engineering_Related_Fields,22,67357,32416.04234,27.30554417,28.12045865
Colorado,Bachelors_degree,Social_Sciences,22,73201,38260.04234,26.20644006,26.58744533
Colorado,Bachelors_degree,Visual_and_Performing_Arts,22,51710,16769.04234,33.89286911,41.54473932
Colorado,Less_than_high_school_graduate,,39,34357,824568,,
Colorado,High_school_graduate_includes_equivalency,,39,42245,929390,,
Colorado,Some_college_or_associates_degree,,39,46542,913914.5437,,
Colorado,Bachelors_degree,Combined_25_to_39_years,39,67009,1171221.042,,
Colorado,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,59924,1043691.042,,
Colorado,Bachelors_degree,Business,39,80460,1413339.042,,
Colorado,Bachelors_degree,Communications,39,63735,1112289.042,,
Colorado,Bachelors_degree,Computers_Mathematics_and_Statistics,39,90114,1587111.042,,
Colorado,Bachelors_degree,Education,39,48184,832371.0423,,
Colorado,Bachelors_degree,Engineering,39,93554,1649031.042,,
Colorado,Bachelors_degree,Liberal_Arts_and_History,39,62406,1088367.042,,
