,degree_age_range,state,degree,age_range,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,education,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
44,25_to_39_years_Education,Alaska,Education,25_to_39_years,63555,11865,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1300218.729,34436.27094991247,1114871.2709499125
45,25_to_39_years_Literature_and_Languages,Alaska,Literature_and_Languages,25_to_39_years,59733,14625,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1223778.729,30614.27094991247,1046075.2709499125
46,25_to_39_years_Liberal_Arts_and_History,Alaska,Liberal_Arts_and_History,25_to_39_years,63558,20098,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1300278.729,34439.27094991247,1114925.2709499125
47,25_to_39_years_Visual_and_Performing_Arts,Alaska,Visual_and_Performing_Arts,25_to_39_years,38038,15687,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-789878.7291,8919.270949912468,655565.2709499125
48,25_to_39_years_Communications,Alaska,Communications,25_to_39_years,56281,16123,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1154738.729,27162.27094991247,983939.2709499125
49,25_to_39_years_Other,Alaska,Other,25_to_39_years,62025,14819,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1269618.729,32906.27094991247,1087331.2709499125
67,25_to_39_years_25_to_39_years,Arizona,Combined_25_to_39_years,25_to_39_years,60743,802,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1258085.21,17517.789683548588,1050148.7896835485
68,25_to_39_years_Computers_Mathematics_and_Statistics,Arizona,Computers_Mathematics_and_Statistics,25_to_39_years,82391,6307,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1691045.21,39165.78968354859,1439812.7896835485
69,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Arizona,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,54925,5378,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1141725.21,11699.789683548588,945424.7896835486
70,25_to_39_years_Physical_and_Related_Sciences,Arizona,Physical_and_Related_Sciences,25_to_39_years,62316,9343,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1289545.21,19090.789683548588,1078462.7896835485
71,25_to_39_years_Psychology,Arizona,Psychology,25_to_39_years,53281,3091,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1108845.21,10055.789683548588,915832.7896835486
72,25_to_39_years_Social_Sciences,Arizona,Social_Sciences,25_to_39_years,59144,5642,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1226105.21,15918.789683548588,1021366.7896835486
73,25_to_39_years_Engineering,Arizona,Engineering,25_to_39_years,86615,4397,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1775525.21,43389.78968354859,1515844.7896835485
74,25_to_39_years_Multidisciplinary_Studies,Arizona,Multidisciplinary_Studies,25_to_39_years,54175,7580,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1126725.21,10949.789683548588,931924.7896835486
75,25_to_39_years_Science_and_Engineering_Related_Fields,Arizona,Science_and_Engineering_Related_Fields,25_to_39_years,62915,2123,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1301525.21,19689.789683548588,1089244.7896835485
76,25_to_39_years_Business,Arizona,Business,25_to_39_years,66060,1771,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1364425.21,22834.789683548588,1145854.7896835485
77,25_to_39_years_Education,Arizona,Education,25_to_39_years,51036,1451,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1063945.21,7810.789683548588,875422.7896835486
78,25_to_39_years_Literature_and_Languages,Arizona,Literature_and_Languages,25_to_39_years,52459,5485,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1092405.21,9233.789683548588,901036.7896835486
79,25_to_39_years_Liberal_Arts_and_History,Arizona,Liberal_Arts_and_History,25_to_39_years,56760,8183,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1178425.21,13534.789683548588,978454.7896835486
80,25_to_39_years_Visual_and_Performing_Arts,Arizona,Visual_and_Performing_Arts,25_to_39_years,47658,6892,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-996385.2103,4432.789683548588,814618.7896835486
81,25_to_39_years_Communications,Arizona,Communications,25_to_39_years,55536,7543,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1153945.21,12310.789683548588,956422.7896835486
82,25_to_39_years_Other,Arizona,Other,25_to_39_years,56087,2853,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1164965.21,12861.789683548588,966340.7896835486
100,25_to_39_years_25_to_39_years,Arkansas,Combined_25_to_39_years,25_to_39_years,52604,1616,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-1085539.737,19144.26324200446,913412.2632420044
101,25_to_39_years_Computers_Mathematics_and_Statistics,Arkansas,Computers_Mathematics_and_Statistics,25_to_39_years,93027,29551,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-1893999.737,59567.26324200446,1641026.2632420044
