,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,2-3_year_pct_students_loans_avg,<2_year_pct_students_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,age_39,y_intercept,gross_at_starting_age,gross_at_39,age_of_profitability_high_school,gross_salary_at_proftability_high_school,age_of_profitability_less_than_high_school,gross_salary_at_proftability_less_than_high_school
365,Maryland,total,Graduate_or_professional_degree,99484,1941,MD,40.76666667,21.77777778,74.73913043,0,0,0,0,26,39,-2387616,99484,1392776,29.58236057,555355.559,29.14700285,512044.4312
378,Massachusetts,total,Total,62009,462,MA,58.80821918,29.0952381,56.35294118,0,0,0,0,,,,62009,,,,,
379,Massachusetts,total,Less_than_high_school_graduate,34472,2061,MA,58.80821918,29.0952381,56.35294118,0,0,0,0,16,39,-482608,34472,827328,24.92594511,376639.1797,#DIV/0!,#DIV/0!
380,Massachusetts,total,High_school_graduate_includes_equivalency,42196,531,MA,58.80821918,29.0952381,56.35294118,0,0,0,0,18,39,-675136,42196,928312,#DIV/0!,#DIV/0!,24.92594511,376639.1797
381,Massachusetts,total,Some_college_or_associates_degree,49021,1132,MA,58.80821918,29.0952381,56.35294118,5426.947368,10853.89474,117.7932797,14135.19357,20,39,-896513.1936,34885.80643,966284.8064,32.43621884,693542.6901,28.4490476,498087.5689
382,Massachusetts,total,Bachelors_degree,77137,1049,MA,58.80821918,29.0952381,56.35294118,8086.506849,32346.0274,351.039396,42124.72752,22,39,-1584864.728,35012.27248,1346341.272,26.03613885,423484.9149,25.83515124,407981.3334
383,Massachusetts,total,Graduate_or_professional_degree,95136,1232,MA,58.80821918,29.0952381,56.35294118,0,0,0,0,26,39,-2283264,95136,1331904,30.37642614,606627.6775,29.68244758,540605.333
396,Michigan,total,Total,47259,406,MI,53,22.52941176,61.22807018,0,0,0,0,,,,47259,,,,,
397,Michigan,total,Less_than_high_school_graduate,30404,670,MI,53,22.52941176,61.22807018,0,0,0,0,16,39,-425656,30404,729696,27.13495697,399355.2316,#DIV/0!,#DIV/0!
398,Michigan,total,High_school_graduate_includes_equivalency,35865,453,MI,53,22.52941176,61.22807018,0,0,0,0,18,39,-573840,35865,789030,#DIV/0!,#DIV/0!,27.13495697,399355.2316
399,Michigan,total,Some_college_or_associates_degree,41762,337,MI,53,22.52941176,61.22807018,5538.172414,11076.34483,120.2074478,14424.89373,20,39,-766140.8937,27337.10627,820815.1063,32.60995315,595715.9698,29.97753951,485781.1112
400,Michigan,total,Bachelors_degree,63077,740,MI,53,22.52941176,61.22807018,7466.020408,29864.08163,324.1037624,38892.45149,22,39,-1300432.451,24184.54851,1096493.549,26.70117784,383797.7434,26.77368015,388370.9712
401,Michigan,total,Graduate_or_professional_degree,78984,1580,MI,53,22.52941176,61.22807018,0,0,0,0,26,39,-1895616,78984,1105776,30.65414319,525570.8453,30.25854261,494324.7295
414,Minnesota,total,Total,54047,337,MN,58.31111111,30.29411765,54.4,0,0,0,0,,,,54047,,,,,
415,Minnesota,total,Less_than_high_school_graduate,33274,1795,MN,58.31111111,30.29411765,54.4,0,0,0,0,16,39,-465836,33274,798576,25.89855719,395912.592,#DIV/0!,#DIV/0!
416,Minnesota,total,High_school_graduate_includes_equivalency,39997,757,MN,58.31111111,30.29411765,54.4,0,0,0,0,18,39,-639952,39997,879934,#DIV/0!,#DIV/0!,25.89855719,395912.592
417,Minnesota,total,Some_college_or_associates_degree,49014,708,MN,58.31111111,30.29411765,54.4,5576.290323,11152.58065,121.0348067,14524.1768,20,39,-896776.1768,34489.8232,965755.8232,28.4822199,499251.3492,27.37866435,445161.6774
418,Minnesota,total,Bachelors_degree,68504,1126,MN,58.31111111,30.29411765,54.4,8508.714286,34034.85714,369.3676367,44324.1164,22,39,-1414404.116,24179.8836,1188747.884,27.16708585,446649.9328,26.9250104,430066.7961
419,Minnesota,total,Graduate_or_professional_degree,82324,1259,MN,58.31111111,30.29411765,54.4,0,0,0,0,26,39,-1975776,82324,1152536,31.55961916,622338.0874,30.78369011,558460.5048
432,Mississippi,total,Total,40342,446,MS,53.25,17.1875,62.8,0,0,0,0,,,,40342,,,,,
433,Mississippi,total,Less_than_high_school_graduate,26775,1916,MS,53.25,17.1875,62.8,0,0,0,0,16,39,-374850,26775,642600,24.90422348,291960.5836,#DIV/0!,#DIV/0!
434,Mississippi,total,High_school_graduate_includes_equivalency,32789,1316,MS,53.25,17.1875,62.8,0,0,0,0,18,39,-524624,32789,721358,#DIV/0!,#DIV/0!,24.90422348,291960.5836
435,Mississippi,total,Some_college_or_associates_degree,37485,981,MS,53.25,17.1875,62.8,4131.769231,8263.538462,89.6811072,10761.73286,20,39,-685491.7329,26723.26714,738938.2671,34.25633153,598606.8545,29.00483033,401754.3322
436,Mississippi,total,Bachelors_degree,50731,1381,MS,53.25,17.1875,62.8,6321.466667,25285.86667,274.4180994,32930.17193,22,39,-1047550.172,17800.82807,880227.8281,29.14536684,431023.4335,28.08065503,377009.5385
437,Mississippi,total,Graduate_or_professional_degree,57266,2090,MS,53.25,17.1875,62.8,0,0,0,0,26,39,-1374384,57266,801724,34.71667279,613700.9843,32.78127972,502868.7646
450,Missouri,total,Total,45456,476,MO,62.94915254,43.92,56.6,0,0,0,0,,,,45456,,,,,
451,Missouri,total,Less_than_high_school_graduate,28414,1565,MO,62.94915254,43.92,56.6,0,0,0,0,16,39,-397796,28414,681936,23.89497083,281155.701,#DIV/0!,#DIV/0!
452,Missouri,total,High_school_graduate_includes_equivalency,35612,519,MO,62.94915254,43.92,56.6,0,0,0,0,18,39,-569792,35612,783464,#DIV/0!,#DIV/0!,23.89497083,281155.701
453,Missouri,total,Some_college_or_associates_degree,41874,441,MO,62.94915254,43.92,56.6,5390,10780,116.9913276,14038.95932,20,39,-767770.9593,27835.04068,823441.0407,31.6159309,556114.5313,27.48699549,383219.4899
454,Missouri,total,Bachelors_degree,57693,1123,MO,62.94915254,43.92,56.6,6799.964912,27199.85965,295.1899529,35422.79435,22,39,-1189282.794,22270.20565,1003051.206,28.05537767,429316.1096,27.03257606,370307.6161
455,Missouri,total,Graduate_or_professional_degree,70894,1418,MO,62.94915254,43.92,56.6,0,0,0,0,26,39,-1701456,70894,992516,32.07482569,572456.6925,30.68879473,474195.4134
468,Montana,total,Total,43414,1266,MT,41,36.9,53.6,0,0,0,0,,,,43414,,,,,
469,Montana,total,Less_than_high_school_graduate,30133,4113,MT,41,36.9,53.6,0,0,0,0,16,39,-421862,30133,723192,26.87637611,388003.8412,#DIV/0!,#DIV/0!
470,Montana,total,High_school_graduate_includes_equivalency,35674,923,MT,41,36.9,53.6,0,0,0,0,18,39,-570784,35674,784828,#DIV/0!,#DIV/0!,26.87637611,388003.8412
471,Montana,total,Some_college_or_associates_degree,39948,1161,MT,41,36.9,53.6,5424.142857,10848.28571,117.7324071,14127.88885,20,39,-733191.8888,25820.11115,784832.1112,37.9990381,784793.6853,31.71980528,533950.8926
472,Montana,total,Bachelors_degree,50894,1378,MT,41,36.9,53.6,6190.272727,24761.09091,268.7229035,32246.74842,22,39,-1050126.748,18647.25158,883845.2516,31.49426731,552742.4919,30.26177681,490016.1207
473,Montana,total,Graduate_or_professional_degree,68235,2421,MT,41,36.9,53.6,0,0,0,0,26,39,-1637640,68235,955290,32.76484137,598068.9512,31.90850874,539637.0939
486,Nebraska,total,Total,49244,870,NE,56.1,49.41176471,,0,0,0,0,,,,49244,,,,,
487,Nebraska,total,Less_than_high_school_graduate,33308,2022,NE,56.1,49.41176471,,0,0,0,0,16,39,-466312,33308,799392,28.22311927,473743.6565,#DIV/0!,#DIV/0!
488,Nebraska,total,High_school_graduate_includes_equivalency,38758,1570,NE,56.1,49.41176471,,0,0,0,0,18,39,-620128,38758,852676,#DIV/0!,#DIV/0!,28.22311927,473743.6565
489,Nebraska,total,Some_college_or_associates_degree,44111,1179,NE,56.1,49.41176471,,6015.066667,12030.13333,130.5585594,15667.02713,20,39,-809665.0271,28443.97287,866552.9729,35.40762696,752200.8058,31.78311831,592320.1047
490,Nebraska,total,Bachelors_degree,58817,1729,NE,56.1,49.41176471,,6964.052632,27856.21053,302.3130847,36277.57016,22,39,-1212617.57,22539.42984,1022428.43,29.53734335,524680.3534,29.25655926,508165.4758
491,Nebraska,total,Graduate_or_professional_degree,74208,2651,NE,56.1,49.41176471,,0,0,0,0,26,39,-1780992,74208,1038912,32.74651622,649061.4757,32.14376528,604332.534
504,Nevada,total,Total,44247,729,NV,37.36363636,83.5,66.72727273,0,0,0,0,,,,44247,,,,,
505,Nevada,total,Less_than_high_school_graduate,34591,1524,NV,37.36363636,83.5,66.72727273,0,0,0,0,16,39,-484274,34591,830184,39.13779264,869541.3853,#DIV/0!,#DIV/0!
506,Nevada,total,High_school_graduate_includes_equivalency,37581,1246,NV,37.36363636,83.5,66.72727273,0,0,0,0,18,39,-601296,37581,826782,#DIV/0!,#DIV/0!,39.13779264,869541.3853
507,Nevada,total,Some_college_or_associates_degree,43743,1130,NV,37.36363636,83.5,66.72727273,7379.25,14758.5,160.1685073,19220.22088,20,39,-806594.2209,24522.77912,855639.7791,33.31681611,650783.2663,35.2185556,733971.0569
508,Nevada,total,Bachelors_degree,59999,2381,NV,37.36363636,83.5,66.72727273,6775.545455,27102.18182,294.1298917,35295.58701,22,39,-1235275.587,24703.41299,1044686.413,28.27993519,461492.2442,29.55768211,538155.7818
509,Nevada,total,Graduate_or_professional_degree,75253,2169,NV,37.36363636,83.5,66.72727273,0,0,0,0,26,39,-1806072,75253,1053542,31.9806753,600569.7585,32.50695982,640174.247
522,New_Hampshire,total,Total,55756,1483,NH,69.35714286,44.57142857,77.33333333,0,0,0,0,,,,55756,,,,,
523,New_Hampshire,total,Less_than_high_school_graduate,38365,2874,NH,69.35714286,44.57142857,77.33333333,0,0,0,0,16,39,-537110,38365,920760,35.32745592,818227.8463,#DIV/0!,#DIV/0!
524,New_Hampshire,total,High_school_graduate_includes_equivalency,42335,1476,NH,69.35714286,44.57142857,77.33333333,0,0,0,0,18,39,-677360,42335,931370,#DIV/0!,#DIV/0!,35.32745592,818227.8463
525,New_Hampshire,total,Some_college_or_associates_degree,48955,2127,NH,69.35714286,44.57142857,77.33333333,5622.714286,11245.42857,122.0424507,14645.09408,20,39,-895835.0941,34309.90592,964454.9059,33.00228007,719791.5269,33.87394656,762463.9598
526,New_Hampshire,total,Bachelors_degree,67982,2341,NH,69.35714286,44.57142857,77.33333333,7527.571429,30110.28571,326.7757237,39213.08684,22,39,-1398853.087,28768.91316,1184462.913,28.13167571,513594.491,29.09623145,579166.9196
527,New_Hampshire,total,Graduate_or_professional_degree,84072,2366,NH,69.35714286,44.57142857,77.33333333,0,0,0,0,26,39,-2017728,84072,1177008,32.11462252,682212.5443,32.39368149,705673.5905
540,New_Jersey,total,Total,60145,574,NJ,32.45614035,37.75675676,62.74468085,0,0,0,0,,,,60145,,,,,
541,New_Jersey,total,Less_than_high_school_graduate,31962,603,NJ,32.45614035,37.75675676,62.74468085,0,0,0,0,16,39,-447468,31962,767088,23.76624954,312148.8679,#DIV/0!,#DIV/0!
542,New_Jersey,total,High_school_graduate_includes_equivalency,40193,538,NJ,32.45614035,37.75675676,62.74468085,0,0,0,0,18,39,-643088,40193,884246,#DIV/0!,#DIV/0!,23.76624954,312148.8679
543,New_Jersey,total,Some_college_or_associates_degree,50489,568,NJ,32.45614035,37.75675676,62.74468085,6099.470588,12198.94118,132.3905681,15886.86817,20,39,-924688.8682,34602.13183,993893.1318,27.35051167,456211.1156,25.75812966,375813.3401
544,New_Jersey,total,Bachelors_degree,76725,1057,NJ,32.45614035,37.75675676,62.74468085,7403.176471,29612.70588,321.375675,38565.081,22,39,-1573065.081,38159.919,1342484.919,25.4565061,380085.3498,25.1457025,356238.9433
545,New_Jersey,total,Graduate_or_professional_degree,98247,1908,NJ,32.45614035,37.75675676,62.74468085,0,0,0,0,26,39,-2357928,98247,1375458,29.53870534,544161.1839,28.82190541,473737.7407
558,New_Mexico,total,Total,41866,573,NM,34.16666667,12,70.75,0,0,0,0,,,,41866,,,,,
559,New_Mexico,total,Less_than_high_school_graduate,26396,1303,NM,34.16666667,12,70.75,0,0,0,0,16,39,-369544,26396,633504,25.48643306,303195.8872,#DIV/0!,#DIV/0!
560,New_Mexico,total,High_school_graduate_includes_equivalency,31961,744,NM,34.16666667,12,70.75,0,0,0,0,18,39,-511376,31961,703142,#DIV/0!,#DIV/0!,25.48643306,303195.8872
561,New_Mexico,total,Some_college_or_associates_degree,39701,1458,NM,34.16666667,12,70.75,4694.631579,9389.263158,101.8981783,12227.7814,20,39,-726845.7814,27473.2186,781792.2186,27.83847305,378369.4371,26.85469984,339312.657
562,New_Mexico,total,Bachelors_degree,55322,1829,NM,34.16666667,12,70.75,6000.7,24002.8,260.4934545,31259.21454,22,39,-1137699.215,24062.78546,964536.7855,26.81063373,345518.6646,26.55587411,331424.853
563,New_Mexico,total,Graduate_or_professional_degree,73105,2622,NM,34.16666667,12,70.75,0,0,0,0,26,39,-1754520,73105,1023470,30.21446626,454308.5563,29.65115931,413128.001
576,New_York,total,Total,53631,311,NY,37.30102041,36.09090909,61.19148936,0,0,0,0,,,,53631,,,,,
577,New_York,total,Less_than_high_school_graduate,29259,783,NY,37.30102041,36.09090909,61.19148936,0,0,0,0,16,39,-409626,29259,702216,23.20842572,269429.3282,#DIV/0!,#DIV/0!
578,New_York,total,High_school_graduate_includes_equivalency,37377,416,NY,37.30102041,36.09090909,61.19148936,0,0,0,0,18,39,-598032,37377,822294,#DIV/0!,#DIV/0!,23.20842572,269429.3282
579,New_York,total,Some_college_or_associates_degree,46298,626,NY,37.30102041,36.09090909,61.19148936,5930.492308,11860.98462,128.7228513,15446.74216,20,39,-848810.7422,30851.25784,910513.2578,28.1110573,452674.9886,25.77526511,344532.4818
580,New_York,total,Bachelors_degree,71567,807,NY,37.30102041,36.09090909,61.19148936,7706.863309,30827.45324,334.5588759,40147.06511,22,39,-1471487.065,31419.93489,1248058.935,25.5470917,356841.6463,25.09835173,324726.6733
581,New_York,total,Graduate_or_professional_degree,87776,1143,NY,37.30102041,36.09090909,61.19148936,0,0,0,0,26,39,-2106624,87776,1228864,29.93297486,520772.8014,29.00008545,438887.5
594,North_Carolina,total,Total,46075,437,NC,62.79032258,11.27692308,65.32,0,0,0,0,,,,46075,,,,,
595,North_Carolina,total,Less_than_high_school_graduate,30324,538,NC,62.79032258,11.27692308,65.32,0,0,0,0,16,39,-424536,30324,727776,28.26450961,432556.9893,#DIV/0!,#DIV/0!
596,North_Carolina,total,High_school_graduate_includes_equivalency,35269,606,NC,62.79032258,11.27692308,65.32,0,0,0,0,18,39,-564304,35269,775918,#DIV/0!,#DIV/0!,28.26450961,432556.9893
597,North_Carolina,total,Some_college_or_associates_degree,41354,353,NC,62.79032258,11.27692308,65.32,6850.232558,13700.46512,148.6860485,17842.32582,20,39,-762214.3258,23511.67418,809237.6742,32.52429348,582795.3067,30.61453543,503819.1725
598,North_Carolina,total,Bachelors_degree,59713,990,NC,62.79032258,11.27692308,65.32,7294.193548,29176.77419,316.6446706,37997.36047,22,39,-1232257.36,21715.63953,1036836.64,27.32586158,399451.8121,27.48379872,408882.7123
599,North_Carolina,total,Graduate_or_professional_degree,76062,1365,NC,62.79032258,11.27692308,65.32,0,0,0,0,26,39,-1825488,76062,1064868,30.91667688,526096.2769,30.62993572,504286.1708
612,North_Dakota,total,Total,50304,904,ND,49.53333333,55.33333333,47,0,0,0,0,,,,50304,,,,,
613,North_Dakota,total,Less_than_high_school_graduate,41762,2849,ND,49.53333333,55.33333333,47,0,0,0,0,16,39,-584668,41762,1002288,-17.25,-1305062.5,#DIV/0!,#DIV/0!
614,North_Dakota,total,High_school_graduate_includes_equivalency,39250,1816,ND,49.53333333,55.33333333,47,0,0,0,0,18,39,-628000,39250,863500,#DIV/0!,#DIV/0!,-17.25,-1305062.5
615,North_Dakota,total,Some_college_or_associates_degree,47258,1504,ND,49.53333333,55.33333333,47,7183.375,14366.75,155.9169904,18710.03885,20,39,-869354.0388,28547.96115,926449.9612,30.13911574,554960.2928,51.7987698,1578552.225
616,North_Dakota,total,Bachelors_degree,56830,2007,ND,49.53333333,55.33333333,47,7827.727273,31310.90909,339.8056423,40776.67708,22,39,-1177376.677,16053.32292,982163.3229,31.2500954,598566.2443,39.33559046,1058064.929
617,North_Dakota,total,Graduate_or_professional_degree,71211,4930,ND,49.53333333,55.33333333,47,0,0,0,0,26,39,-1709064,71211,996954,33.82447358,699610.5879,38.18112669,1009852.213
630,Ohio,total,Total,47521,357,OH,58.70093458,57.84210526,56.31506849,0,0,0,0,,,,47521,,,,,
631,Ohio,total,Less_than_high_school_graduate,30152,910,OH,58.70093458,57.84210526,56.31506849,0,0,0,0,16,39,-422128,30152,723648,24.91148219,329003.0111,#DIV/0!,#DIV/0!
632,Ohio,total,High_school_graduate_includes_equivalency,36919,427,OH,58.70093458,57.84210526,56.31506849,0,0,0,0,18,39,-590704,36919,812218,#DIV/0!,#DIV/0!,24.91148219,329003.0111
633,Ohio,total,Some_college_or_associates_degree,42690,433,OH,58.70093458,57.84210526,56.31506849,6037.690141,12075.38028,131.0496077,15725.95292,20,39,-784145.9529,26964.04708,838074.0471,33.51965914,646808.296,28.87366031,448470.6056
634,Ohio,total,Bachelors_degree,62605,681,OH,58.70093458,57.84210526,56.31506849,6575.704762,26302.81905,285.4547051,34254.56461,22,39,-1286354.565,28350.43539,1092635.435,27.08286867,409168.4284,26.63009782,380822.7095
635,Ohio,total,Graduate_or_professional_degree,77691,1125,OH,58.70093458,57.84210526,56.31506849,0,0,0,0,26,39,-1864584,77691,1087674,31.24399097,562792.9028,30.34258188,492761.5288
648,Oklahoma,total,Total,42362,311,OK,48.7037037,26.28571429,30.34285714,0,0,0,0,,,,42362,,,,,
649,Oklahoma,total,Less_than_high_school_graduate,30354,983,OK,48.7037037,26.28571429,30.34285714,0,0,0,0,16,39,-424956,30354,728496,28.19525914,430882.8959,#DIV/0!,#DIV/0!
650,Oklahoma,total,High_school_graduate_includes_equivalency,35332,406,OK,48.7037037,26.28571429,30.34285714,0,0,0,0,18,39,-565312,35332,777304,#DIV/0!,#DIV/0!,28.19525914,430882.8959
651,Oklahoma,total,Some_college_or_associates_degree,40237,525,OK,48.7037037,26.28571429,30.34285714,5578.157895,11156.31579,121.0753428,14529.04114,20,39,-738795.0411,25707.95886,790210.9589,35.36861185,684331.794,31.75544279,538948.7106
652,Oklahoma,total,Bachelors_degree,53732,1026,OK,48.7037037,26.28571429,30.34285714,6596.37037,26385.48148,286.3518097,34362.21717,22,39,-1109002.217,19369.78283,932813.7828,29.54838137,478691.4105,29.26025396,463209.7488
653,Oklahoma,total,Graduate_or_professional_degree,70191,1657,OK,48.7037037,26.28571429,30.34285714,0,0,0,0,26,39,-1684584,70191,982674,32.10855159,569147.3449,31.61954966,534823.8105
666,Oregon,total,Total,48807,906,OR,60.125,41.77142857,64.71428571,0,0,0,0,,,,48807,,,,,
667,Oregon,total,Less_than_high_school_graduate,30994,1258,OR,60.125,41.77142857,64.71428571,0,0,0,0,16,39,-433916,30994,743856,25.85500795,367434.1164,#DIV/0!,#DIV/0!
668,Oregon,total,High_school_graduate_includes_equivalency,37284,835,OR,60.125,41.77142857,64.71428571,0,0,0,0,18,39,-596544,37284,820248,#DIV/0!,#DIV/0!,25.85500795,367434.1164
669,Oregon,total,Some_college_or_associates_degree,42769,887,OR,60.125,41.77142857,64.71428571,5904.735294,11809.47059,128.1637888,15379.65465,20,39,-785221.6547,27389.34535,840000.3453,34.39884315,685982.4678,29.83487513,490786.1198
670,Oregon,total,Bachelors_degree,62676,1256,OR,60.125,41.77142857,64.71428571,7239.791667,28959.16667,314.2830571,37713.96685,22,39,-1291233.967,24962.03315,1090454.033,27.35861558,423494.6234,27.06009617,404784.6207
671,Oregon,total,Graduate_or_professional_degree,81633,1759,OR,60.125,41.77142857,64.71428571,0,0,0,0,26,39,-1959192,81633,1142862,30.72556315,549027.8964,30.120579,499641.2255
684,Pennsylvania,total,Total,50871,266,PA,66.4122807,61.97402597,66.38823529,0,0,0,0,,,,50871,,,,,
685,Pennsylvania,total,Less_than_high_school_graduate,32177,897,PA,66.4122807,61.97402597,66.38823529,0,0,0,0,16,39,-450478,32177,772248,26.88900169,414729.4074,#DIV/0!,#DIV/0!
686,Pennsylvania,total,High_school_graduate_includes_equivalency,38087,545,PA,66.4122807,61.97402597,66.38823529,0,0,0,0,18,39,-609392,38087,837914,#DIV/0!,#DIV/0!,26.88900169,414729.4074
687,Pennsylvania,total,Some_college_or_associates_degree,44804,671,PA,66.4122807,61.97402597,66.38823529,7227.708333,14455.41667,156.8792567,18825.51081,20,39,-825297.5108,25978.48919,877254.4892,32.14314587,614843.9967,29.68397171,504663.1578
688,Pennsylvania,total,Bachelors_degree,64722,790,PA,66.4122807,61.97402597,66.38823529,8637.882883,34551.53153,374.9749115,44996.98938,22,39,-1339436.989,19725.01062,1119999.011,27.40923557,434543.5551,27.31476385,428429.1563
689,Pennsylvania,total,Graduate_or_professional_degree,80977,1013,PA,66.4122807,61.97402597,66.38823529,0,0,0,0,26,39,-1943448,80977,1133678,31.10412684,575270.8788,30.59364754,533933.7969
702,Rhode_Island,total,Total,54012,1173,RI,59.41666667,26.5,82.16666667,0,0,0,0,,,,54012,,,,,
703,Rhode_Island,total,Less_than_high_school_graduate,35287,2762,RI,59.41666667,26.5,82.16666667,0,0,0,0,16,39,-494018,35287,846888,28.01668653,494606.8176,#DIV/0!,#DIV/0!
704,Rhode_Island,total,High_school_graduate_includes_equivalency,41160,1296,RI,59.41666667,26.5,82.16666667,0,0,0,0,18,39,-658560,41160,905520,#DIV/0!,#DIV/0!,28.01668653,494606.8176
705,Rhode_Island,total,Some_college_or_associates_degree,48802,2513,RI,59.41666667,26.5,82.16666667,5741.5,11483,124.620725,14954.487,20,39,-893390.487,33847.513,961085.513,30.72893052,606242.78,29.5503135,548723.9126
706,Rhode_Island,total,Bachelors_degree,67148,2815,RI,59.41666667,26.5,82.16666667,9745.25,38981,423.0462841,50765.55409,22,39,-1393725.554,16382.44591,1157898.446,28.28865454,505801.0207,28.23852215,502434.731
707,Rhode_Island,total,Graduate_or_professional_degree,85586,4353,RI,59.41666667,26.5,82.16666667,0,0,0,0,26,39,-2054064,85586,1198204,31.41187593,634352.8132,31.01544762,600424.1003
720,South_Carolina,total,Total,43331,592,SC,58.89473684,29.875,77.04166667,0,0,0,0,,,,43331,,,,,
721,South_Carolina,total,Less_than_high_school_graduate,27141,1330,SC,58.89473684,29.875,77.04166667,0,0,0,0,16,39,-379974,27141,651384,23.10125589,247017.186,#DIV/0!,#DIV/0!
722,South_Carolina,total,High_school_graduate_includes_equivalency,34785,966,SC,58.89473684,29.875,77.04166667,0,0,0,0,18,39,-556560,34785,765270,#DIV/0!,#DIV/0!,23.10125589,247017.186
723,South_Carolina,total,Some_college_or_associates_degree,40386,665,SC,58.89473684,29.875,77.04166667,6134.954545,12269.90909,133.1607565,15979.29077,20,39,-742927.2908,24406.70923,791740.7092,33.27393158,600873.71,27.40304196,363771.9619
724,South_Carolina,total,Bachelors_degree,57407,1493,SC,58.89473684,29.875,77.04166667,6931.945946,27727.78378,300.919317,36110.31804,22,39,-1184250.318,21296.68196,997215.682,27.74689762,408615.8338,26.57359142,341259.8448
725,South_Carolina,total,Graduate_or_professional_degree,67170,1980,SC,58.89473684,29.875,77.04166667,0,0,0,0,26,39,-1612080,67170,940380,32.59286707,577182.881,30.78033426,455435.0521
738,South_Dakota,total,Total,45902,667,SD,51.6,54.2,73.33333333,0,0,0,0,,,,45902,,,,,
739,South_Dakota,total,Less_than_high_school_graduate,30523,2259,SD,51.6,54.2,73.33333333,0,0,0,0,16,39,-427322,30523,732552,23.49398478,289784.8974,#DIV/0!,#DIV/0!
740,South_Dakota,total,High_school_graduate_includes_equivalency,38669,1771,SD,51.6,54.2,73.33333333,0,0,0,0,18,39,-618704,38669,850718,#DIV/0!,#DIV/0!,23.49398478,289784.8974
741,South_Dakota,total,Some_college_or_associates_degree,45237,1326,SD,51.6,54.2,73.33333333,6473.5,12947,140.5089721,16861.07665,20,39,-831127.0766,28375.92335,887878.9234,32.34212495,631933.6296,27.44359635,410338.8913
742,South_Dakota,total,Bachelors_degree,52325,1924,SD,51.6,54.2,73.33333333,7204.083333,28816.33333,312.7329401,37527.95281,22,39,-1084027.953,14797.04719,904322.0472,34.07468899,698930.1485,30.12136285,492072.3582
743,South_Dakota,total,Graduate_or_professional_degree,67981,3888,SD,51.6,54.2,73.33333333,0,0,0,0,26,39,-1631544,67981,951734,34.55376638,717455.592,32.14859309,553949.5069
756,Tennessee,total,Total,45072,401,TN,51.16,14.29166667,61.86486486,0,0,0,0,,,,45072,,,,,
757,Tennessee,total,Less_than_high_school_graduate,30183,1146,TN,51.16,14.29166667,61.86486486,0,0,0,0,16,39,-422562,30183,724392,26.2142132,368661.597,#DIV/0!,#DIV/0!
758,Tennessee,total,High_school_graduate_includes_equivalency,36093,577,TN,51.16,14.29166667,61.86486486,0,0,0,0,18,39,-577488,36093,794046,#DIV/0!,#DIV/0!,26.2142132,368661.597
759,Tennessee,total,Some_college_or_associates_degree,41663,479,TN,51.16,14.29166667,61.86486486,6068.777778,12137.55556,131.7243728,15806.92474,20,39,-765740.9247,25856.07526,817453.0753,33.79765256,642370.6737,29.89363456,479717.5719
760,Tennessee,total,Bachelors_degree,57539,1113,TN,51.16,14.29166667,61.86486486,6400.1875,25600.75,277.835411,33340.24933,22,39,-1184120.249,24198.75067,1002361.751,28.28649862,443456.5946,27.83880134,417696.5407
761,Tennessee,total,Graduate_or_professional_degree,72837,1803,TN,51.16,14.29166667,61.86486486,0,0,0,0,26,39,-1748088,72837,1019718,31.85826257,572372.2711,31.07624138,515412.1937
774,Texas,total,Total,48430,370,TX,48.57983193,44.89130435,61.77241379,0,0,0,0,,,,48430,,,,,
775,Texas,total,Less_than_high_school_graduate,29317,601,TX,48.57983193,44.89130435,61.77241379,0,0,0,0,16,39,-410438,29317,703608,24.49768116,307760.5186,#DIV/0!,#DIV/0!
776,Texas,total,High_school_graduate_includes_equivalency,36217,369,TX,48.57983193,44.89130435,61.77241379,0,0,0,0,18,39,-579472,36217,796774,#DIV/0!,#DIV/0!,24.49768116,307760.5186
777,Texas,total,Some_college_or_associates_degree,43687,586,TX,48.57983193,44.89130435,61.77241379,5768.955556,11537.91111,125.2166548,15025.99858,20,39,-801391.9986,28661.00142,858714.0014,29.70816581,496468.641,27.20626295,387168.0109
778,Texas,total,Bachelors_degree,64905,584,TX,48.57983193,44.89130435,61.77241379,6462.401709,25849.60684,280.5361617,33664.3394,22,39,-1331764.339,31240.6606,1134625.661,26.22324106,370255.1213,25.88867988,348540.4279
779,Texas,total,Graduate_or_professional_degree,82824,1260,TX,48.57983193,44.89130435,61.77241379,0,0,0,0,26,39,-1987776,82824,1159536,30.21657691,514881.7659,29.47909619,453800.6631
792,Utah,total,Total,51104,514,UT,54.11111111,20.2,46.51428571,0,0,0,0,,,,51104,,,,,
793,Utah,total,Less_than_high_school_graduate,37472,1649,UT,54.11111111,20.2,46.51428571,0,0,0,0,16,39,-524608,37472,899328,39.21685254,944925.8984,#DIV/0!,#DIV/0!
794,Utah,total,High_school_graduate_includes_equivalency,40700,642,UT,54.11111111,20.2,46.51428571,0,0,0,0,18,39,-651200,40700,895400,#DIV/0!,#DIV/0!,39.21685254,944925.8984
795,Utah,total,Some_college_or_associates_degree,43406,1496,UT,54.11111111,20.2,46.51428571,4269,8538,92.65973612,11119.16833,20,39,-792427.1683,32286.83167,857000.8317,52.19038002,1472948.467,45.13299096,1166615.437
