,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
90,Colorado,total,Total,55648,720,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,0,0,0,0,,,55648,
91,Colorado,total,Less_than_high_school_graduate,34357,1706,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,0,0,0,0,16,-480998,34357,824568
92,Colorado,total,High_school_graduate_includes_equivalency,42245,868,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,0,0,0,0,18,-675920,42245,929390
93,Colorado,total,Some_college_or_associates_degree,46542,821,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,6498.217391304348,12996.434782608696,141.04546937126398,16925.456324551677,20,-854681.4563,29616.543675448323,913914.5436754483
94,Colorado,total,Bachelors_degree,69493,1237,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,6707.46875,26829.875,291.17464718949293,34940.95766273915,22,-1424800.958,34552.04233726085,1215933.042337261
95,Colorado,total,Graduate_or_professional_degree,84468,1931,CO,44.09375,6707.46875,53.291666666666664,6498.217391304348,64.72222222222223,6554.6875,0,0,0,0,26,-2027232,84468,1182552
108,Connecticut,total,Total,58734,1178,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,0,0,0,0,,,58734,
109,Connecticut,total,Less_than_high_school_graduate,31767,1063,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,0,0,0,0,16,-444738,31767,762408
110,Connecticut,total,High_school_graduate_includes_equivalency,41610,793,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,0,0,0,0,18,-665760,41610,915420
111,Connecticut,total,Some_college_or_associates_degree,49709,1754,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,6185.555555555556,12371.111111111111,134.25906431244252,16111.087717493103,20,-910873.0877,33597.91228,978068.9122825069
112,Connecticut,total,Bachelors_degree,75597,1766,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,7916.615384615385,31666.46153846154,343.66432069479214,41239.71848337506,22,-1553179.718,34357.28151662494,1319506.2815166248
113,Connecticut,total,Graduate_or_professional_degree,92566,1859,CT,55.148148148148145,7916.615384615385,25.727272727272727,6185.555555555556,77.125,6244.333333333333,0,0,0,0,26,-2221584,92566,1295924
126,Delaware,total,Total,50835,878,DE,43,6695.8,82,7577,57.666666666666664,6274.6,0,0,0,0,,,50835,
127,Delaware,total,Less_than_high_school_graduate,34578,2306,DE,43,6695.8,82,7577,57.666666666666664,6274.6,0,0,0,0,16,-484092,34578,829872
128,Delaware,total,High_school_graduate_includes_equivalency,39820,2238,DE,43,6695.8,82,7577,57.666666666666664,6274.6,0,0,0,0,18,-637120,39820,876040
129,Delaware,total,Some_college_or_associates_degree,44530,1758,DE,43,6695.8,82,7577,57.666666666666664,6274.6,7577,15154,164.46072162131117,19735.28659455734,20,-821275.2866,24794.71340544266,870864.7134054427
130,Delaware,total,Bachelors_degree,64139,3027,DE,43,6695.8,82,7577,57.666666666666664,6274.6,6695.8,26783.2,290.6681007871124,34880.17209445349,22,-1317660.172,29258.82790554651,1119621.8279055464
131,Delaware,total,Graduate_or_professional_degree,79150,3804,DE,43,6695.8,82,7577,57.666666666666664,6274.6,0,0,0,0,26,-1899600,79150,1108100
144,District_of_Columbia,total,Total,83510,2750,DC,33.9,6623,83.5,6703,62.5,7155,0,0,0,0,,,83510,
145,District_of_Columbia,total,Less_than_high_school_graduate,26970,6116,DC,33.9,6623,83.5,6703,62.5,7155,0,0,0,0,16,-377580,26970,647280
146,District_of_Columbia,total,High_school_graduate_includes_equivalency,38599,4544,DC,33.9,6623,83.5,6703,62.5,7155,0,0,0,0,18,-617584,38599,849178
147,District_of_Columbia,total,Some_college_or_associates_degree,48566,3947,DC,33.9,6623,83.5,6703,62.5,7155,6703,13406,145.49032823381927,17458.839388058313,20,-891646.8394,31107.160611941687,953861.1606119417
148,District_of_Columbia,total,Bachelors_degree,83903,2914,DC,33.9,6623,83.5,6703,62.5,7155,6623,26492,287.5078155729032,34500.937868748384,22,-1712560.938,49402.062131251616,1475753.0621312517
149,District_of_Columbia,total,Graduate_or_professional_degree,113205,6360,DC,33.9,6623,83.5,6703,62.5,7155,0,0,0,0,26,-2716920,113205,1584870
162,Florida,total,Total,44036,330,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,0,0,0,0,,,44036,
163,Florida,total,Less_than_high_school_graduate,28063,876,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,0,0,0,0,16,-392882,28063,673512
164,Florida,total,High_school_graduate_includes_equivalency,34769,469,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,0,0,0,0,18,-556304,34769,764918
165,Florida,total,Some_college_or_associates_degree,41565,288,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,7719.38,15438.76,167.55111591251378,20106.133909501652,20,-768276.1339,21458.866090498348,811193.8660904984
166,Florida,total,Bachelors_degree,56243,818,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,6875.417475728155,27501.66990291262,298.4653872260858,35815.84646713029,22,-1160675.846,20427.153532869706,976558.1535328696
167,Florida,total,Graduate_or_professional_degree,74215,1259,FL,42.80701754385965,6875.417475728155,53.38461538461539,7719.38,56.389830508474574,6539.021739130435,0,0,0,0,26,-1781160,74215,1039010
180,Georgia,total,Total,47625,512,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,0,0,0,0,,,47625,
181,Georgia,total,Less_than_high_school_graduate,30325,631,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,0,0,0,0,16,-424550,30325,727800
182,Georgia,total,High_school_graduate_includes_equivalency,35880,536,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,0,0,0,0,18,-574080,35880,789360
183,Georgia,total,Some_college_or_associates_degree,42139,452,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,6016.9473684210525,12033.894736842105,130.5993805157682,15671.925661892183,20,-774173.9257,26467.074338107817,827108.0743381078
184,Georgia,total,Bachelors_degree,63803,738,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,6766.8387096774195,27067.354838709678,293.75192748807456,35250.23129856895,22,-1311310.231,28552.76870143105,1113203.768701431
185,Georgia,total,Graduate_or_professional_degree,78550,1341,GA,52.5625,6766.8387096774195,36.54761904761905,6016.9473684210525,74.11111111111111,7114.851851851852,0,0,0,0,26,-1885200,78550,1099700
198,Hawaii,total,Total,50993,644,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45,5570,0,0,0,0,,,50993,
199,Hawaii,total,Less_than_high_school_graduate,29829,4287,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45,5570,0,0,0,0,16,-417606,29829,715896
200,Hawaii,total,High_school_graduate_includes_equivalency,41441,1095,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45,5570,0,0,0,0,18,-663056,41441,911702
201,Hawaii,total,Some_college_or_associates_degree,46737,1326,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45,5570,5841.444444444444,11682.888888888889,126.7900446936957,15214.805363243484,20,-856480.8054,31522.194636756518,919525.1946367566
