State,Education_no_edit,Education,Age,Gross Salary - Loans,Median Salary,Age gross salary > Did not graduate HS,Age gross salary > HS graduate
Tennessee,High_school_graduate_includes_equivalency,HS graduate,39,794046,,,
Tennessee,Some_college_or_associates_degree,Associates Degree,39,817453.0753,,,
Tennessee,Bachelors_degree,Bachelors Degree,39,1002361.751,,,
Texas,Less_than_high_school_graduate,Did not graduate HS,16,29317,29317,,24.49768116
Texas,High_school_graduate_includes_equivalency,HS graduate,18,36217,36217,24.49768116,
Texas,Some_college_or_associates_degree,Associates Degree,20,28661.00142,43687,27.20626295,29.70816581
Texas,Bachelors_degree,Bachelors Degree,22,31240.6606,64905,25.88867988,26.22324106
Texas,Less_than_high_school_graduate,Did not graduate HS,39,703608,,,
Texas,High_school_graduate_includes_equivalency,HS graduate,39,796774,,,
Texas,Some_college_or_associates_degree,Associates Degree,39,858714.0014,,,
Texas,Bachelors_degree,Bachelors Degree,39,1134625.661,,,
Utah,Less_than_high_school_graduate,Did not graduate HS,16,37472,37472,,39.21685254
Utah,High_school_graduate_includes_equivalency,HS graduate,18,40700,40700,39.21685254,
Utah,Some_college_or_associates_degree,Associates Degree,20,32286.83167,43406,45.13299096,52.19038002
Utah,Bachelors_degree,Bachelors Degree,22,25117.94359,60973,31.09259421,29.79899652
Utah,Less_than_high_school_graduate,Did not graduate HS,39,899328,,,
Utah,High_school_graduate_includes_equivalency,HS graduate,39,895400,,,
Utah,Some_college_or_associates_degree,Associates Degree,39,857000.8317,,,
Utah,Bachelors_degree,Bachelors Degree,39,1061658.944,,,
Vermont,Less_than_high_school_graduate,Did not graduate HS,16,34612,34612,,26.21605667
Vermont,High_school_graduate_includes_equivalency,HS graduate,18,41388,41388,26.21605667,
Vermont,Some_college_or_associates_degree,Associates Degree,20,31795.09604,44003,34.04258375,54.32271662
Vermont,Bachelors_degree,Bachelors Degree,22,11048.98261,54163,32.82727315,36.33393483
Vermont,Less_than_high_school_graduate,Did not graduate HS,39,830688,,,
Vermont,High_school_graduate_includes_equivalency,HS graduate,39,910536,,,
Vermont,Some_college_or_associates_degree,Associates Degree,39,867852.096,,,
Vermont,Bachelors_degree,Bachelors Degree,39,931819.9826,,,
Virginia,Less_than_high_school_graduate,Did not graduate HS,16,30436,30436,,22.54960189
Virginia,High_school_graduate_includes_equivalency,HS graduate,18,39730,39730,22.54960189,
Virginia,Some_college_or_associates_degree,Associates Degree,20,30256.40247,45135,27.29468655,35.45394959
Virginia,Bachelors_degree,Bachelors Degree,22,32030.7247,73893,25.16552627,25.87718512
Virginia,Less_than_high_school_graduate,Did not graduate HS,39,730464,,,
Virginia,High_school_graduate_includes_equivalency,HS graduate,39,874060,,,
Virginia,Some_college_or_associates_degree,Associates Degree,39,887821.4025,,,
Virginia,Bachelors_degree,Bachelors Degree,39,1288211.725,,,
Washington,Less_than_high_school_graduate,Did not graduate HS,16,36000,36000,,27.45038168
Washington,High_school_graduate_includes_equivalency,HS graduate,18,42288,42288,27.45038168,
Washington,Some_college_or_associates_degree,Associates Degree,20,35112.25485,51740,28.2050664,28.70712496
Washington,Bachelors_degree,Bachelors Degree,22,44709.88318,76376,26.13399338,25.89116747
Washington,Less_than_high_school_graduate,Did not graduate HS,39,864000,,,
Washington,High_school_graduate_includes_equivalency,HS graduate,39,930336,,,
Washington,Some_college_or_associates_degree,Associates Degree,39,1018172.255,,,
Washington,Bachelors_degree,Bachelors Degree,39,1343101.883,,,
West_Virginia,Less_than_high_school_graduate,Did not graduate HS,16,26692,26692,,22.38564593
West_Virginia,High_school_graduate_includes_equivalency,HS graduate,18,35052,35052,22.38564593,
West_Virginia,Some_college_or_associates_degree,Associates Degree,20,28775.40461,40791,26.42496598,32.30904258
West_Virginia,Bachelors_degree,Bachelors Degree,22,15975.75956,52887,27.5229334,29.93099189
West_Virginia,Less_than_high_school_graduate,Did not graduate HS,39,640608,,,
West_Virginia,High_school_graduate_includes_equivalency,HS graduate,39,771144,,,
West_Virginia,Some_college_or_associates_degree,Associates Degree,39,803804.4046,,,
West_Virginia,Bachelors_degree,Bachelors Degree,39,915054.7596,,,
Wisconsin,Less_than_high_school_graduate,Did not graduate HS,16,35193,35193,,30.33231521
Wisconsin,High_school_graduate_includes_equivalency,HS graduate,18,40104,40104,30.33231521,
Wisconsin,Some_college_or_associates_degree,Associates Degree,20,32062.85168,45726,32.6620287,34.69710927
Wisconsin,Bachelors_degree,Bachelors Degree,22,22826.1029,61428,29.52010281,29.33304713
Wisconsin,Less_than_high_school_graduate,Did not graduate HS,39,844632,,,
Wisconsin,High_school_graduate_includes_equivalency,HS graduate,39,882288,,,
Wisconsin,Some_college_or_associates_degree,Associates Degree,39,900856.8517,,,
Wisconsin,Bachelors_degree,Bachelors Degree,39,1067102.103,,,
Wyoming,Less_than_high_school_graduate,Did not graduate HS,16,28406,28406,,22.31946607
Wyoming,High_school_graduate_includes_equivalency,HS graduate,18,37396,37396,22.31946607,
Wyoming,Some_college_or_associates_degree,Associates Degree,20,31076.72199,44020,26.10601243,31.24506009
Wyoming,Bachelors_degree,Bachelors Degree,22,26811.63352,54129,27.68780339,30.57200541
Wyoming,Less_than_high_school_graduate,Did not graduate HS,39,681744,,,
Wyoming,High_school_graduate_includes_equivalency,HS graduate,39,822712,,,
Wyoming,Some_college_or_associates_degree,Associates Degree,39,867456.722,,,
Wyoming,Bachelors_degree,Bachelors Degree,39,947004.6335,,,
Puerto_Rico,Less_than_high_school_graduate,Did not graduate HS,16,12646,12646,,23.35874309
Puerto_Rico,High_school_graduate_includes_equivalency,HS graduate,18,16083,16083,23.35874309,
Puerto_Rico,Some_college_or_associates_degree,Associates Degree,20,4155.73424,19642,27.44400597,31.38922893
Puerto_Rico,Bachelors_degree,Bachelors Degree,22,5703.947433,27445,26.59619248,27.5755195
Puerto_Rico,Less_than_high_school_graduate,Did not graduate HS,39,303504,,,
Puerto_Rico,High_school_graduate_includes_equivalency,HS graduate,39,353826,,,
Puerto_Rico,Some_college_or_associates_degree,Associates Degree,39,377353.7342,,,
Puerto_Rico,Bachelors_degree,Bachelors Degree,39,472268.9474,,,
